"disease","chiefdom","PHU","pop","epiweek","fyo","cas","dth"
"Diarrhoea Severe dehydratation ","Gbonkolenken","Lion Heart Hospital","9999","2016-01","o","2",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","Lion Heart Hospital","9999","2016-01","u","2",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","CHC Yele","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","CHC Yele","9999","2016-01","u","2",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","CHC Mayepoh","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","CHC Mayepoh","9999","2016-01","u","5",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","CHP Makonkorie","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","CHP Makonkorie","9999","2016-01","u","8",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","MCHP Petifu Mayepoh","9999","2016-01","o","4",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","MCHP Petifu Mayepoh","9999","2016-01","u","4",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","MCHP Mafay","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","MCHP Mafay","9999","2016-01","u","4",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","CHC Manowo","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Gbonkolenken","CHC Manowo","9999","2016-01","u","7",""
"Diarrhoea Severe dehydratation ","Kholifa Mabang","CHC Mabang","9999","2016-01","o","3",""
"Diarrhoea Severe dehydratation ","Kholifa Mabang","CHC Mabang","9999","2016-01","u","2",""
"Diarrhoea Severe dehydratation ","Kholifa Mabang","MCHP Mamansokafla","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Kholifa Mabang","MCHP Mamansokafla","9999","2016-01","u","1",""
"Diarrhoea Severe dehydratation ","Malal Mara","CHC  Mara.","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Malal Mara","CHC  Mara.","9999","2016-01","u","3",""
"Diarrhoea Severe dehydratation ","Malal Mara","MCHP Manewa","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Malal Mara","MCHP Manewa","9999","2016-01","u","2",""
"Diarrhoea Severe dehydratation ","Malal Mara","MCHP Kiampkakolo","9999","2016-01","o","1",""
"Diarrhoea Severe dehydratation ","Malal Mara","MCHP Kiampkakolo","9999","2016-01","u","2",""
"Diarrhoea Severe dehydratation ","Yoni","MCHP Magboki Rd. 91","9999","2016-01","o","4",""
"Diarrhoea Severe dehydratation ","Yoni","MCHP Magboki Rd. 91","9999","2016-01","u","6",""
"Diarrhoea Severe dehydratation ","Yoni","CHP Bakeloko","9999","2016-01","o","3",""
"Diarrhoea Severe dehydratation ","Yoni","CHP Bakeloko","9999","2016-01","u","8",""
"Diarrhoea Severe dehydratation ","Yoni","CHC  Mathoir","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Yoni","CHC  Mathoir","9999","2016-01","u","1",""
"Diarrhoea Severe dehydratation ","Yoni","MCHP Rokimbi","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Yoni","MCHP Rokimbi","9999","2016-01","u","3",""
"Diarrhoea Severe dehydratation ","Yoni","MCHP Petifu fulamansa","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Yoni","MCHP Petifu fulamansa","9999","2016-01","u","2",""
"Diarrhoea Severe dehydratation ","Yoni","MCHP Masiperr","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Yoni","MCHP Masiperr","9999","2016-01","u","3",""
"Dysentery (Bloody Diarrhea)","Kafe Simira","CHP Masumbri","9999","2016-01","o","1",""
"Dysentery (Bloody Diarrhea)","Kafe Simira","CHP Masumbri","9999","2016-01","u","",""
"Dysentery (Bloody Diarrhea)","Kunike Barina","CHC Makali","9999","2016-01","o","",""
"Dysentery (Bloody Diarrhea)","Kunike Barina","CHC Makali","9999","2016-01","u","6",""
"Dysentery (Bloody Diarrhea)","Malal Mara","MCHP Kiampkakolo","9999","2016-01","o","1",""
"Dysentery (Bloody Diarrhea)","Malal Mara","MCHP Kiampkakolo","9999","2016-01","u","1",""
"Dysentery (Bloody Diarrhea)","Yoni","CHP Masengbeh","9999","2016-01","o","2",""
"Dysentery (Bloody Diarrhea)","Yoni","CHP Masengbeh","9999","2016-01","u","1",""
"Severe Malnutrition","Kholifa Rowalla","Magburaka Govt. Hosp","9999","2016-01","o","",""
"Severe Malnutrition","Kholifa Rowalla","Magburaka Govt. Hosp","9999","2016-01","u","3",""
"Severe Malnutrition","Kafe Simira","CHP Masumbri","9999","2016-01","o","",""
"Severe Malnutrition","Kafe Simira","CHP Masumbri","9999","2016-01","u","2",""
"Severe Malnutrition","Kalansogoia","CHC Bumbuna","9999","2016-01","o","",""
"Severe Malnutrition","Kalansogoia","CHC Bumbuna","9999","2016-01","u","3",""
"Severe Malnutrition","Tane","MCHP Makrugbeh","9999","2016-01","o","",""
"Severe Malnutrition","Tane","MCHP Makrugbeh","9999","2016-01","u","2",""
"Severe Malnutrition","Tane","MCHP Mathufullie","9999","2016-01","o","",""
"Severe Malnutrition","Tane","MCHP Mathufullie","9999","2016-01","u","2",""
"Severe Malnutrition","Tane","MCHP Rosengbeh","9999","2016-01","o","",""
"Severe Malnutrition","Tane","MCHP Rosengbeh","9999","2016-01","u","9",""
"Severe Malnutrition","Kunike Barina","MCHP Makoni Line","9999","2016-01","o","",""
"Severe Malnutrition","Kunike Barina","MCHP Makoni Line","9999","2016-01","u","3",""
"Severe Malnutrition","Kunike ","MCHP Masiaka","9999","2016-01","o","",""
"Severe Malnutrition","Kunike ","MCHP Masiaka","9999","2016-01","u","3",""
"Severe Malnutrition","Gbonkolenken","Lion Heart Hospital","9999","2016-01","o","",""
"Severe Malnutrition","Gbonkolenken","Lion Heart Hospital","9999","2016-01","u","1",""
"Severe Malnutrition","Gbonkolenken","CHC Yele","9999","2016-01","o","",""
"Severe Malnutrition","Gbonkolenken","CHC Yele","9999","2016-01","u","2",""
"Severe Malnutrition","Gbonkolenken","MCHP Mafay","9999","2016-01","o","",""
"Severe Malnutrition","Gbonkolenken","MCHP Mafay","9999","2016-01","u","1",""
"Severe Malnutrition","Malal Mara","MCHP Kiampkakolo","9999","2016-01","o","",""
"Severe Malnutrition","Malal Mara","MCHP Kiampkakolo","9999","2016-01","u","6",""
"Severe Malnutrition","Yoni","CHP Bakeloko","9999","2016-01","o","",""
"Severe Malnutrition","Yoni","CHP Bakeloko","9999","2016-01","u","1",""
"Neonatal Tetanus","Kholifa Rowalla","MCHP UFC Magburaka","9999","2016-01","o","",""
"Neonatal Tetanus","Kholifa Rowalla","MCHP UFC Magburaka","9999","2016-01","u","1",""
"Sever Pneumonia","Kholifa Rowalla","MCHP UFC Magburaka","9999","2016-01","o","10",""
"Sever Pneumonia","Kholifa Rowalla","MCHP UFC Magburaka","9999","2016-01","u","60",""
"Sever Pneumonia","Kholifa Rowalla","MCHP Masoko","9999","2016-01","o","2",""
"Sever Pneumonia","Kholifa Rowalla","MCHP Masoko","9999","2016-01","u","5",""
"Sever Pneumonia","Kholifa Rowalla","CHP Mabom","9999","2016-01","o","7",""
"Sever Pneumonia","Kholifa Rowalla","CHP Mabom","9999","2016-01","u","6",""
"Sever Pneumonia","Kholifa Rowalla","MCHP Mamuntha","9999","2016-01","o","3",""
"Sever Pneumonia","Kholifa Rowalla","MCHP Mamuntha","9999","2016-01","u","20",""
"Sever Pneumonia","Kafe Simira","CHP Masumbri","9999","2016-01","o","11",""
"Sever Pneumonia","Kafe Simira","CHP Masumbri","9999","2016-01","u","43",""
"Sever Pneumonia","Kafe Simira","MCHP Makonthandae","9999","2016-01","o","9",""
"Sever Pneumonia","Kafe Simira","MCHP Makonthandae","9999","2016-01","u","7",""
"Sever Pneumonia","Kalansogoia","CHC Bumbuna","9999","2016-01","o","3",""
"Sever Pneumonia","Kalansogoia","CHC Bumbuna","9999","2016-01","u","3",""
"Sever Pneumonia","Kalansogoia","MCHP Bassaia","9999","2016-01","o","2",""
"Sever Pneumonia","Kalansogoia","MCHP Bassaia","9999","2016-01","u","",""
"Sever Pneumonia","Kalansogoia","New Ferengbeya","9999","2016-01","o","23",""
"Sever Pneumonia","Kalansogoia","New Ferengbeya","9999","2016-01","u","3",""
"Sever Pneumonia","Sambaya Bendugu","MCHP Kholifaga","9999","2016-01","o","6",""
"Sever Pneumonia","Sambaya Bendugu","MCHP Kholifaga","9999","2016-01","u","11",""
"Sever Pneumonia","Sambaya Bendugu","MCHP Ninkikoro","9999","2016-01","o","15",""
"Sever Pneumonia","Sambaya Bendugu","MCHP Ninkikoro","9999","2016-01","u","15",""
"Sever Pneumonia","Sambaya Bendugu","MCHP Dankawalia","9999","2016-01","o","6",""
"Sever Pneumonia","Sambaya Bendugu","MCHP Dankawalia","9999","2016-01","u","14",""
"Sever Pneumonia","Tane","MCHP Makrugbeh","9999","2016-01","o","12",""
"Sever Pneumonia","Tane","MCHP Makrugbeh","9999","2016-01","u","17",""
"Sever Pneumonia","Tane","MCHP Mathufullie","9999","2016-01","o","10",""
"Sever Pneumonia","Tane","MCHP Mathufullie","9999","2016-01","u","25",""
"Sever Pneumonia","Tane","MCHP Rosengbeh","9999","2016-01","o","4",""
"Sever Pneumonia","Tane","MCHP Rosengbeh","9999","2016-01","u","9",""
"Sever Pneumonia","Tane","MCHP Masankoro","9999","2016-01","o","",""
"Sever Pneumonia","Tane","MCHP Masankoro","9999","2016-01","u","3",""
"Sever Pneumonia","Kunike Barina","MCHP Massaba","9999","2016-01","o","3",""
"Sever Pneumonia","Kunike Barina","MCHP Massaba","9999","2016-01","u","7",""
"Sever Pneumonia","Kunike Barina","MCHP Mapamuri","9999","2016-01","o","",""
"Sever Pneumonia","Kunike Barina","MCHP Mapamuri","9999","2016-01","u","10",""
"Sever Pneumonia","Kunike ","CHP Mamansosanka","9999","2016-01","o","10",""
"Sever Pneumonia","Kunike ","CHP Mamansosanka","9999","2016-01","u","7",""
"Sever Pneumonia","Kunike ","MCHP Masiaka","9999","2016-01","o","8",""
"Sever Pneumonia","Kunike ","MCHP Masiaka","9999","2016-01","u","5",""
"Sever Pneumonia","Kunike ","MCHP Fothaneh Junct.","9999","2016-01","o","2",""
"Sever Pneumonia","Kunike ","MCHP Fothaneh Junct.","9999","2016-01","u","4",""
"Sever Pneumonia","Kunike ","MCHP Mabineh ","9999","2016-01","o","5",""
"Sever Pneumonia","Kunike ","MCHP Mabineh ","9999","2016-01","u","10",""
"Sever Pneumonia","Kunike ","MCHP Patifu Mandugu","9999","2016-01","o","2",""
"Sever Pneumonia","Kunike ","MCHP Patifu Mandugu","9999","2016-01","u","5",""
"Sever Pneumonia","Kunike ","MCHP Maconteh Thama","9999","2016-01","o","2",""
"Sever Pneumonia","Kunike ","MCHP Maconteh Thama","9999","2016-01","u","5",""
"Sever Pneumonia","Gbonkolenken","Lion Heart Hospital","9999","2016-01","o","5",""
"Sever Pneumonia","Gbonkolenken","Lion Heart Hospital","9999","2016-01","u","15","1"
"Sever Pneumonia","Gbonkolenken","CHC Yele","9999","2016-01","o","",""
"Sever Pneumonia","Gbonkolenken","CHC Yele","9999","2016-01","u","2",""
"Sever Pneumonia","Gbonkolenken","CHC Mayepoh","9999","2016-01","o","15",""
"Sever Pneumonia","Gbonkolenken","CHC Mayepoh","9999","2016-01","u","25",""
"Sever Pneumonia","Gbonkolenken","CHP Makonkorie","9999","2016-01","o","3",""
"Sever Pneumonia","Gbonkolenken","CHP Makonkorie","9999","2016-01","u","12",""
"Sever Pneumonia","Gbonkolenken","MCHP Petifu Mayepoh","9999","2016-01","o","4",""
"Sever Pneumonia","Gbonkolenken","MCHP Petifu Mayepoh","9999","2016-01","u","8",""
"Sever Pneumonia","Gbonkolenken","MCHP Mansumana","9999","2016-01","o","",""
"Sever Pneumonia","Gbonkolenken","MCHP Mansumana","9999","2016-01","u","2",""
"Sever Pneumonia","Gbonkolenken","MCHP Mafay","9999","2016-01","o","3",""
"Sever Pneumonia","Gbonkolenken","MCHP Mafay","9999","2016-01","u","8",""
"Sever Pneumonia","Gbonkolenken","CHC Manowo","9999","2016-01","o","6",""
"Sever Pneumonia","Gbonkolenken","CHC Manowo","9999","2016-01","u","12",""
"Sever Pneumonia","Kholifa Mabang","CHC Mabang","9999","2016-01","o","24",""
"Sever Pneumonia","Kholifa Mabang","CHC Mabang","9999","2016-01","u","38",""
"Sever Pneumonia","Kholifa Mabang","MCHP Mamansokafla","9999","2016-01","o","2",""
"Sever Pneumonia","Kholifa Mabang","MCHP Mamansokafla","9999","2016-01","u","7",""
"Sever Pneumonia","Malal Mara","CHC  Mara.","9999","2016-01","o","30",""
"Sever Pneumonia","Malal Mara","CHC  Mara.","9999","2016-01","u","47",""
"Sever Pneumonia","Malal Mara","MCHP Kiampkakolo","9999","2016-01","o","3",""
"Sever Pneumonia","Malal Mara","MCHP Kiampkakolo","9999","2016-01","u","3",""
"Sever Pneumonia","Yoni","MCHP Magboki Rd. 91","9999","2016-01","o","27",""
"Sever Pneumonia","Yoni","MCHP Magboki Rd. 91","9999","2016-01","u","24",""
"Sever Pneumonia","Yoni","CHP Bakeloko","9999","2016-01","o","9",""
"Sever Pneumonia","Yoni","CHP Bakeloko","9999","2016-01","u","17",""
"Sever Pneumonia","Yoni","CHC  Mathoir","9999","2016-01","o","2",""
"Sever Pneumonia","Yoni","CHC  Mathoir","9999","2016-01","u","2",""
"Sever Pneumonia","Yoni","MCHP Rokimbi","9999","2016-01","o","7",""
"Sever Pneumonia","Yoni","MCHP Rokimbi","9999","2016-01","u","11",""
"Sever Pneumonia","Yoni","MCHP Petifu fulamansa","9999","2016-01","o","",""
"Sever Pneumonia","Yoni","MCHP Petifu fulamansa","9999","2016-01","u","15",""
"Sever Pneumonia","Yoni","MCHP Masiperr","9999","2016-01","o","",""
"Sever Pneumonia","Yoni","MCHP Masiperr","9999","2016-01","u","4",""
"Typhoid Fever","Kholifa Rowalla","Magburaka Govt. Hosp","9999","2016-01","o","20",""
"Typhoid Fever","Kholifa Rowalla","Magburaka Govt. Hosp","9999","2016-01","u","",""
"Typhoid Fever","Kalansogoia","CHC Bumbuna","9999","2016-01","o","3",""
"Typhoid Fever","Kalansogoia","CHC Bumbuna","9999","2016-01","u","",""
"Typhoid Fever","Gbonkolenken","Lion Heart Hospital","9999","2016-01","o","10",""
"Typhoid Fever","Gbonkolenken","Lion Heart Hospital","9999","2016-01","u","3",""
" Malaria cases","Kholifa Rowalla","Magburaka Govt. Hosp","9999","2016-01","o","13",""
" Malaria cases","Kholifa Rowalla","Magburaka Govt. Hosp","9999","2016-01","u","16",""
" Malaria cases","Kholifa Rowalla","Masanga Hosp","9999","2016-01","o","19",""
" Malaria cases","Kholifa Rowalla","Masanga Hosp","9999","2016-01","u","6",""
" Malaria cases","Kholifa Rowalla","MCHP UFC Magburaka","9999","2016-01","o","33",""
" Malaria cases","Kholifa Rowalla","MCHP UFC Magburaka","9999","2016-01","u","100",""
" Malaria cases","Kholifa Rowalla","MCHP Mabai","9999","2016-01","o","28",""
" Malaria cases","Kholifa Rowalla","MCHP Mabai","9999","2016-01","u","20",""
" Malaria cases","Kholifa Rowalla","MCHP Mayossoh","9999","2016-01","o","18",""
" Malaria cases","Kholifa Rowalla","MCHP Mayossoh","9999","2016-01","u","29",""
" Malaria cases","Kholifa Rowalla","MCHP Masoko","9999","2016-01","o","11",""
" Malaria cases","Kholifa Rowalla","MCHP Masoko","9999","2016-01","u","18",""
" Malaria cases","Kholifa Rowalla","MCHP Malone","9999","2016-01","o","22",""
" Malaria cases","Kholifa Rowalla","MCHP Malone","9999","2016-01","u","50",""
" Malaria cases","Kholifa Rowalla","CHP Mabom","9999","2016-01","o","33",""
" Malaria cases","Kholifa Rowalla","CHP Mabom","9999","2016-01","u","22",""
" Malaria cases","Kholifa Rowalla","MCHP Mamuntha","9999","2016-01","o","23",""
" Malaria cases","Kholifa Rowalla","MCHP Mamuntha","9999","2016-01","u","39",""
" Malaria cases","Kafe Simira","CHC Mabontor","9999","2016-01","o","12",""
" Malaria cases","Kafe Simira","CHC Mabontor","9999","2016-01","u","14",""
" Malaria cases","Kafe Simira","CHP Masumbri","9999","2016-01","o","24",""
" Malaria cases","Kafe Simira","CHP Masumbri","9999","2016-01","u","66",""
" Malaria cases","Kafe Simira","MCHP Makonthandae","9999","2016-01","o","14",""
" Malaria cases","Kafe Simira","MCHP Makonthandae","9999","2016-01","u","16",""
" Malaria cases","Kafe Simira","MCHP Mayassoh","9999","2016-01","o","13",""
" Malaria cases","Kafe Simira","MCHP Mayassoh","9999","2016-01","u","12",""
" Malaria cases","Kalansogoia","CHC Bumbuna","9999","2016-01","o","18",""
" Malaria cases","Kalansogoia","CHC Bumbuna","9999","2016-01","u","15",""
" Malaria cases","Kalansogoia","MCHP Kathombo","9999","2016-01","o","9",""
" Malaria cases","Kalansogoia","MCHP Kathombo","9999","2016-01","u","22",""
" Malaria cases","Kalansogoia","MCHP Kemedugu","9999","2016-01","o","25",""
" Malaria cases","Kalansogoia","MCHP Kemedugu","9999","2016-01","u","56",""
" Malaria cases","Kalansogoia","MCHP Bassaia","9999","2016-01","o","15",""
" Malaria cases","Kalansogoia","MCHP Bassaia","9999","2016-01","u","35",""
" Malaria cases","Kalansogoia","MCHP Kamasaypana","9999","2016-01","o","14",""
" Malaria cases","Kalansogoia","MCHP Kamasaypana","9999","2016-01","u","26",""
" Malaria cases","Kalansogoia","New Ferengbeya","9999","2016-01","o","4",""
" Malaria cases","Kalansogoia","New Ferengbeya","9999","2016-01","u","26",""
" Malaria cases","Sambaya Bendugu","MCHP Kholifaga","9999","2016-01","o","12",""
" Malaria cases","Sambaya Bendugu","MCHP Kholifaga","9999","2016-01","u","16",""
" Malaria cases","Sambaya Bendugu","MCHP Ninkikoro","9999","2016-01","o","24",""
" Malaria cases","Sambaya Bendugu","MCHP Ninkikoro","9999","2016-01","u","20",""
" Malaria cases","Sambaya Bendugu","MCHP Dankawalia","9999","2016-01","o","10",""
" Malaria cases","Sambaya Bendugu","MCHP Dankawalia","9999","2016-01","u","18",""
" Malaria cases","Tane","CHC Matotoka","9999","2016-01","o","2",""
" Malaria cases","Tane","CHC Matotoka","9999","2016-01","u","32",""
" Malaria cases","Tane","MCHP Mathonkara","9999","2016-01","o","7",""
" Malaria cases","Tane","MCHP Mathonkara","9999","2016-01","u","16",""
" Malaria cases","Tane","MCHP Makrugbeh","9999","2016-01","o","8",""
" Malaria cases","Tane","MCHP Makrugbeh","9999","2016-01","u","17",""
" Malaria cases","Tane","MCHP Mathufullie","9999","2016-01","o","15",""
" Malaria cases","Tane","MCHP Mathufullie","9999","2016-01","u","24",""
" Malaria cases","Tane","MCHP Rosengbeh","9999","2016-01","o","6",""
" Malaria cases","Tane","MCHP Rosengbeh","9999","2016-01","u","12",""
" Malaria cases","Tane","MCHP Mangaybana","9999","2016-01","o","5",""
" Malaria cases","Tane","MCHP Mangaybana","9999","2016-01","u","9",""
" Malaria cases","Tane","MCHP Masankoro","9999","2016-01","o","2",""
" Malaria cases","Tane","MCHP Masankoro","9999","2016-01","u","7",""
" Malaria cases","Kunike Barina","CHC Makali","9999","2016-01","o","10",""
" Malaria cases","Kunike Barina","CHC Makali","9999","2016-01","u","18",""
" Malaria cases","Kunike Barina","MCHP Massaba","9999","2016-01","o","16",""
" Malaria cases","Kunike Barina","MCHP Massaba","9999","2016-01","u","14",""
" Malaria cases","Kunike Barina","MCHP Wonkibor","9999","2016-01","o","4",""
" Malaria cases","Kunike Barina","MCHP Wonkibor","9999","2016-01","u","12",""
" Malaria cases","Kunike Barina","MCHP Makoni Line","9999","2016-01","o","3",""
" Malaria cases","Kunike Barina","MCHP Makoni Line","9999","2016-01","u","16",""
" Malaria cases","Kunike Barina","MCHP Mapamuri","9999","2016-01","o","20",""
" Malaria cases","Kunike Barina","MCHP Mapamuri","9999","2016-01","u","18",""
" Malaria cases","Kunike ","CHC Masingbi","9999","2016-01","o","3",""
" Malaria cases","Kunike ","CHC Masingbi","9999","2016-01","u","33",""
" Malaria cases","Kunike ","CHP Mamansosanka","9999","2016-01","o","11",""
" Malaria cases","Kunike ","CHP Mamansosanka","9999","2016-01","u","14",""
" Malaria cases","Kunike ","MCHP Petifuline","9999","2016-01","o","3",""
" Malaria cases","Kunike ","MCHP Petifuline","9999","2016-01","u","16",""
" Malaria cases","Kunike ","MCHP Masiaka","9999","2016-01","o","5",""
" Malaria cases","Kunike ","MCHP Masiaka","9999","2016-01","u","11",""
" Malaria cases","Kunike ","MCHP Fothaneh Junct.","9999","2016-01","o","30",""
" Malaria cases","Kunike ","MCHP Fothaneh Junct.","9999","2016-01","u","28",""
" Malaria cases","Kunike ","MCHP Mabineh ","9999","2016-01","o","10",""
" Malaria cases","Kunike ","MCHP Mabineh ","9999","2016-01","u","14",""
" Malaria cases","Kunike ","MCHP Fothaneh Bana","9999","2016-01","o","23",""
" Malaria cases","Kunike ","MCHP Fothaneh Bana","9999","2016-01","u","49",""
" Malaria cases","Kunike ","MCHP Patifu Mandugu","9999","2016-01","o","13",""
" Malaria cases","Kunike ","MCHP Patifu Mandugu","9999","2016-01","u","17",""
" Malaria cases","Kunike ","MCHP Magbanto Bana","9999","2016-01","o","11",""
" Malaria cases","Kunike ","MCHP Magbanto Bana","9999","2016-01","u","15",""
" Malaria cases","Kunike ","MCHP Maconteh Thama","9999","2016-01","o","4",""
" Malaria cases","Kunike ","MCHP Maconteh Thama","9999","2016-01","u","8",""
" Malaria cases","Gbonkolenken","Lion Heart Hospital","9999","2016-01","o","45",""
" Malaria cases","Gbonkolenken","Lion Heart Hospital","9999","2016-01","u","15",""
" Malaria cases","Gbonkolenken","CHC Yele","9999","2016-01","o","8",""
" Malaria cases","Gbonkolenken","CHC Yele","9999","2016-01","u","22",""
" Malaria cases","Gbonkolenken","CHC Mayepoh","9999","2016-01","o","20",""
" Malaria cases","Gbonkolenken","CHC Mayepoh","9999","2016-01","u","30",""
" Malaria cases","Gbonkolenken","CHP Makonkorie","9999","2016-01","o","14",""
" Malaria cases","Gbonkolenken","CHP Makonkorie","9999","2016-01","u","20",""
" Malaria cases","Gbonkolenken","MCHP Mathamp","9999","2016-01","o","5",""
" Malaria cases","Gbonkolenken","MCHP Mathamp","9999","2016-01","u","18",""
" Malaria cases","Gbonkolenken","MCHP Petifu Mayepoh","9999","2016-01","o","17",""
" Malaria cases","Gbonkolenken","MCHP Petifu Mayepoh","9999","2016-01","u","10",""
" Malaria cases","Gbonkolenken","MCHP Mansumana","9999","2016-01","o","8",""
" Malaria cases","Gbonkolenken","MCHP Mansumana","9999","2016-01","u","23",""
" Malaria cases","Gbonkolenken","MCHP Mafay","9999","2016-01","o","2",""
" Malaria cases","Gbonkolenken","MCHP Mafay","9999","2016-01","u","5",""
" Malaria cases","Gbonkolenken","CHC Manowo","9999","2016-01","o","",""
" Malaria cases","Gbonkolenken","CHC Manowo","9999","2016-01","u","48",""
" Malaria cases","Kholifa Mabang","CHC Mabang","9999","2016-01","o","54",""
" Malaria cases","Kholifa Mabang","CHC Mabang","9999","2016-01","u","43",""
" Malaria cases","Kholifa Mabang","MCHP Mamansokafla","9999","2016-01","o","27",""
" Malaria cases","Kholifa Mabang","MCHP Mamansokafla","9999","2016-01","u","30",""
" Malaria cases","Kholifa Mabang","MCHP Mathinkalol","9999","2016-01","o","15",""
" Malaria cases","Kholifa Mabang","MCHP Mathinkalol","9999","2016-01","u","25",""
" Malaria cases","Malal Mara","CHC  Mara.","9999","2016-01","o","28",""
