province,zone,epiweek,disease,fyo,cas,dec
Ituri,Lita,2016-46,DIARR SANGLANTE,u,400,0
Ituri,Bunia,2016-48,IRA,u,114,0
Ituri,Lolwa,2016-40,FIEVRE HEMORRAGIQUE EBOLA,u,260,0
Ituri,Boga,2016-32,COQUELUCHE,u,18,0
Ituri,Rethy,2018-13,ROUGEOLE,u,180,2
Ituri,Kambala,2016-26,DIARR SANGLANTE,u,120,0
Ituri,Rethy,2017-20,CHOLERA,u,300,0
Ituri,Lolwa,2018-19,PALUDISME,u,90,0
Ituri,Mangala,2017-36,MENINGITE,u,40,0
Ituri,Laybo,2017-26,FIEVRE HEMORRAGIQUE EBOLA,u,120,0
Ituri,Damas,2017-08,TNN,u,26,0
Ituri,Mandima,2017-45,ROUGEOLE,u,90,0
Ituri,Kambala,2016-36,RAGE,u,56,2
Ituri,Fataki,2017-46,PESTE,u,288,0
Ituri,Lolwa,2017-24,RAGE,u,54,0
Ituri,Lita,2017-46,PALUDISME,u,140,0
Ituri,Kilo,2018-07,ROUGEOLE,u,16,0
Ituri,Ariwara,2018-11,CHOLERA,u,144,0
Ituri,Rwampara,2016-45,PALUDISME,u,17,0
Ituri,Boga,2017-24,PESTE,u,88,0
Ituri,Bambu-Mines,2017-40,DIARR SANGLANTE,u,24,0
Ituri,Laybo,2017-42,FIEVRE HEMORRAGIQUE EBOLA,u,80,0
Ituri,Bambu-Mines,2017-04,FIEVRE TYPHOIDE,u,4,0
Ituri,Fataki,2017-22,COQUELUCHE,u,30,0
Ituri,Komanda,2018-20,FIEVRE HEMORRAGIQUE EBOLA,u,10,0
Ituri,Ariwara,2017-22,DIARR SANGLANTE,u,126,0
Ituri,Rwampara,2016-22,DECES MATERNEL,u,4,0
Ituri,Bunia,2018-04,FIEVRE JAUNE,u,90,2
Ituri,Ariwara,2016-31,FIEVRE JAUNE,u,16,0
Ituri,Drodro,2018-19,FIEVRE JAUNE,u,130,0
Ituri,Damas,2016-45,DIARR SANGLANTE,u,20,0
Ituri,Mahagi,2018-11,TNN,u,72,0
Ituri,Adja,2018-02,FIEVRE JAUNE,u,108,0
Ituri,Fataki,2017-40,FIEVRE HEMORRAGIQUE EBOLA,u,162,0
Ituri,Adi,2017-20,COQUELUCHE,u,18,0
Ituri,Logo,2017-04,PFA,u,144,0
Ituri,Komanda,2017-03,FIEVRE JAUNE,u,72,0
Ituri,Tchomia,2018-18,DIARR SANGLANTE,u,78,0
Ituri,Mambasa,2017-28,CHOLERA,u,120,0
Ituri,Ariwara,2018-10,TNN,u,36,1
Ituri,Adja,2016-20,TNN,u,18,0
Ituri,Nizi,2017-51,TNN,u,182,0
Ituri,Mandima,2016-29,MENINGITE,u,26,0
Ituri,Mangala,2017-20,CHOLERA,u,28,0
Ituri,Mambasa,2017-21,IRA,u,154,0
Ituri,Linga,2017-41,PFA,u,120,1
Ituri,Bambu-Mines,2017-42,PALUDISME,u,4,0
Ituri,Drodro,2018-19,PALUDISME,u,8,6
Ituri,Nia-Nia,2017-36,DECES MATERNEL,u,63,0
Ituri,Mahagi,2017-06,DIARR SANGLANTE,u,8,6
Ituri,Rwampara,2018-02,PFA,u,42,0
Ituri,Linga,2017-41,IRA,u,18,0
Ituri,Tchomia,2016-42,MENINGITE,u,96,0
Ituri,Ariwara,2017-06,TNN,u,16,1
Ituri,Nizi,2017-32,ROUGEOLE,u,24,0
Ituri,Mongbwalu,2017-51,FIEVRE TYPHOIDE,u,102,0
Ituri,Adja,2017-08,PESTE,u,26,0
Ituri,Lita,2018-16,FIEVRE TYPHOIDE,u,45,0
Ituri,Mahagi,2017-04,RAGE,u,18,0
Ituri,Bambu-Mines,2016-27,PALUDISME,u,171,0
Ituri,Lolwa,2017-13,FIEVRE TYPHOIDE,u,60,0
Ituri,Tchomia,2017-29,MENINGITE,u,30,0
Ituri,Ariwara,2017-28,DECES MATERNEL,u,4,0
Ituri,Mangala,2016-23,IRA,u,168,0
Ituri,Mambasa,2016-47,RAGE,u,20,0
Ituri,Boga,2017-44,RAGE,u,90,0
Ituri,Adi,2017-12,MENINGITE,u,12,0
Ituri,Fataki,2017-37,DIARR SANGLANTE,u,48,0
Ituri,Nia-Nia,2016-38,ROUGEOLE,u,72,0
Ituri,Drodro,2016-34,ROUGEOLE,u,28,0
Ituri,Jiba,2016-51,MENINGITE,u,56,6
Ituri,Bambu-Mines,2018-16,CHOLERA,u,136,0
Ituri,Fataki,2016-35,CHOLERA,u,12,3
Ituri,Damas,2016-41,FIEVRE HEMORRAGIQUE EBOLA,u,120,0
Ituri,Aru,2018-05,PESTE,u,110,0
Ituri,Drodro,2016-38,ROUGEOLE,u,24,0
Ituri,Kambala,2018-08,IRA,u,0,0
Ituri,Kambala,2017-18,COQUELUCHE,u,12,0
Ituri,Damas,2017-46,TNN,u,120,0
Ituri,Boga,2017-38,MENINGITE,u,270,0
Ituri,Drodro,2017-45,TNN,u,100,0
Ituri,Lita,2018-18,TNN,u,72,0
Ituri,Aru,2017-38,PFA,u,54,0
Ituri,Lita,2018-16,ROUGEOLE,u,272,0
Ituri,Ariwara,2018-04,IRA,u,8,0
Ituri,Gety,2016-28,FIEVRE TYPHOIDE,u,36,0
Ituri,Rwampara,2017-43,CHOLERA,u,30,0
Ituri,Lita,2017-26,FIEVRE JAUNE,u,24,0
Ituri,Mangala,2018-08,FIEVRE HEMORRAGIQUE EBOLA,u,120,0
Ituri,Aru,2016-35,IRA,u,135,4
Ituri,Nyarambe,2017-01,ROUGEOLE,u,152,2
Ituri,Nyankunde,2017-22,TNN,u,39,0
Ituri,Lolwa,2016-38,PFA,u,48,0
Ituri,Boga,2018-14,FIEVRE JAUNE,u,200,0
Ituri,Rwampara,2017-35,CHOLERA,u,4,0
Ituri,Adi,2016-32,MENINGITE,u,49,0
Ituri,Kambala,2018-09,PFA,u,72,0
Ituri,Aungba,2016-43,FIEVRE JAUNE,u,45,0
Ituri,Adja,2018-04,RAGE,u,120,0
Ituri,Boga,2017-37,ROUGEOLE,u,210,0
Ituri,Adja,2017-30,PESTE,u,119,0
Ituri,Linga,2016-25,PESTE,u,7,0
Ituri,Damas,2018-20,FIEVRE HEMORRAGIQUE EBOLA,u,48,0
Ituri,Kambala,2017-34,IRA,u,32,0
Ituri,Damas,2017-26,RAGE,u,234,0
Ituri,Drodro,2016-31,PALUDISME,u,140,0
Ituri,Mandima,2018-15,ROUGEOLE,u,182,0
Ituri,Fataki,2017-03,ROUGEOLE,u,50,0
Ituri,Adja,2017-23,DIARR SANGLANTE,u,10,0
Ituri,Drodro,2017-10,COQUELUCHE,u,56,0
Ituri,Mambasa,2016-49,DIARR SANGLANTE,u,132,0
Ituri,Logo,2016-24,FIEVRE JAUNE,u,133,0
Ituri,Nyarambe,2017-47,IRA,u,20,0
Ituri,Tchomia,2018-01,CHOLERA,u,128,0
Ituri,Ariwara,2017-29,CHOLERA,u,260,0
Ituri,Bambu-Mines,2016-30,CHOLERA,u,40,0
Ituri,Bambu-Mines,2017-45,PFA,u,56,0
Ituri,Kambala,2018-16,PESTE,u,54,0
Ituri,Linga,2017-15,PESTE,u,57,0
Ituri,Angumu,2017-13,FIEVRE HEMORRAGIQUE EBOLA,u,6,0
Ituri,Mambasa,2017-18,FIEVRE JAUNE,u,63,0
Ituri,Nia-Nia,2016-35,DECES MATERNEL,u,78,0
Ituri,Nyankunde,2016-41,TNN,u,16,0
Ituri,Lita,2016-21,FIEVRE HEMORRAGIQUE EBOLA,u,150,0
Ituri,Nyarambe,2016-30,COQUELUCHE,u,60,0
Ituri,Nizi,2018-16,PFA,u,48,0
Ituri,Adja,2017-18,PALUDISME,u,60,0
Ituri,Drodro,2017-12,IRA,u,84,0
Ituri,Fataki,2017-07,IRA,u,380,2
Ituri,Ariwara,2017-28,FIEVRE TYPHOIDE,u,80,0
Ituri,Nyankunde,2017-30,FIEVRE TYPHOIDE,u,224,0
Ituri,Laybo,2017-33,PESTE,u,140,0
Ituri,Fataki,2018-01,TNN,u,170,0
Ituri,Ariwara,2016-38,PFA,u,4,0
Ituri,Adi,2017-49,MENINGITE,u,100,0
Ituri,Adi,2017-39,TNN,u,152,0
Ituri,Boga,2017-18,PFA,u,10,0
Ituri,Kambala,2017-47,PESTE,u,30,0
Ituri,Mahagi,2016-22,PALUDISME,u,28,1
Ituri,Mandima,2016-41,IRA,u,342,6
Ituri,Mambasa,2018-17,COQUELUCHE,u,126,0
Ituri,Adja,2017-07,IRA,u,16,0
Ituri,Rimba,2018-07,MENINGITE,u,20,0
Ituri,Logo,2016-29,MENINGITE,u,12,3
Ituri,Bunia,2017-51,RAGE,u,70,0
Ituri,Rimba,2017-25,TNN,u,78,0
Ituri,Rwampara,2016-31,PALUDISME,u,140,1
Ituri,Ariwara,2017-43,TNN,u,4,0
Ituri,Laybo,2018-08,PESTE,u,52,0
Ituri,Aungba,2017-01,FIEVRE TYPHOIDE,u,36,0
Ituri,Drodro,2016-20,FIEVRE JAUNE,u,180,2
Ituri,Rimba,2017-49,COQUELUCHE,u,40,0
Ituri,Aungba,2017-15,IRA,u,24,0
Ituri,Biringi,2017-22,DECES MATERNEL,u,288,0
Ituri,Damas,2016-51,FIEVRE HEMORRAGIQUE EBOLA,u,60,0
Ituri,Linga,2017-18,RAGE,u,15,0
Ituri,Rwampara,2018-07,FIEVRE TYPHOIDE,u,112,0
Ituri,Adi,2017-41,RAGE,u,52,0
Ituri,Angumu,2016-45,FIEVRE TYPHOIDE,u,272,0
Ituri,Boga,2016-31,PFA,u,136,0
Ituri,Laybo,2018-16,TNN,u,24,0
Ituri,Mandima,2017-31,DIARR SANGLANTE,u,170,0
Ituri,Kambala,2016-20,FIEVRE TYPHOIDE,u,7,0
Ituri,Komanda,2018-01,RAGE,u,6,0
Ituri,Adja,2017-14,FIEVRE JAUNE,u,27,0
Ituri,Tchomia,2016-30,DECES MATERNEL,u,0,0
Ituri,Nia-Nia,2016-34,FIEVRE HEMORRAGIQUE EBOLA,u,70,3
Ituri,Mongbwalu,2017-06,PFA,u,36,0
Ituri,Linga,2016-23,FIEVRE TYPHOIDE,u,45,0
Ituri,Mambasa,2017-52,ROUGEOLE,u,40,0
Ituri,Nyarambe,2017-38,PFA,u,40,0
Ituri,Mahagi,2018-05,RAGE,u,52,0
Ituri,Boga,2017-15,CHOLERA,u,72,0
Ituri,Bambu-Mines,2018-08,FIEVRE JAUNE,u,48,0
Ituri,Aungba,2017-33,PALUDISME,u,48,0
Ituri,Aungba,2017-51,PFA,u,153,0
Ituri,Laybo,2016-51,MENINGITE,u,400,2
Ituri,Nia-Nia,2017-40,COQUELUCHE,u,380,0
Ituri,Adi,2017-02,RAGE,u,56,0
Ituri,Mongbwalu,2017-37,RAGE,u,72,0
Ituri,Logo,2017-38,PFA,u,30,0
Ituri,Bambu-Mines,2018-16,FIEVRE TYPHOIDE,u,21,0
Ituri,Adi,2017-38,TNN,u,24,0
Ituri,Linga,2018-20,PALUDISME,u,56,0
Ituri,Aungba,2017-11,PESTE,u,80,0
Ituri,Logo,2016-50,MENINGITE,u,110,0
Ituri,Fataki,2017-36,FIEVRE TYPHOIDE,u,12,0
Ituri,Bunia,2016-29,DIARR SANGLANTE,u,140,0
Ituri,Bunia,2017-47,PALUDISME,u,8,0
Ituri,Bambu-Mines,2016-34,DIARR SANGLANTE,u,24,0
Ituri,Nizi,2017-03,TNN,u,0,0
Ituri,Boga,2016-44,CHOLERA,u,100,0
Ituri,Logo,2017-23,PALUDISME,u,36,0
Ituri,Gety,2018-09,PESTE,u,144,1
Ituri,Mangala,2018-09,PALUDISME,u,20,0
Ituri,Adi,2017-39,DIARR SANGLANTE,u,196,0
Ituri,Linga,2017-43,FIEVRE HEMORRAGIQUE EBOLA,u,20,0
Ituri,Nia-Nia,2017-24,PFA,u,112,0
Ituri,Lita,2017-06,PFA,u,28,0
Ituri,Rwampara,2017-33,PESTE,u,0,0
Ituri,Angumu,2016-28,PFA,u,64,0
Ituri,Gety,2017-12,ROUGEOLE,u,228,0
Ituri,Drodro,2016-30,DIARR SANGLANTE,u,12,0
Ituri,Bunia,2017-17,RAGE,u,68,4
Ituri,Biringi,2018-09,PFA,u,80,0
Ituri,Kambala,2016-37,RAGE,u,0,0
Ituri,Mongbwalu,2017-04,DIARR SANGLANTE,u,80,0
Ituri,Gety,2017-26,RAGE,u,144,6
Ituri,Mangala,2017-09,COQUELUCHE,u,20,0
Ituri,Nyarambe,2017-26,CHOLERA,u,40,0
Ituri,Mambasa,2016-31,FIEVRE TYPHOIDE,u,176,0
Ituri,Linga,2017-25,CHOLERA,u,4,0
Ituri,Kilo,2016-40,TNN,u,56,0
Ituri,Nyarambe,2017-08,TNN,u,10,0
Ituri,Rimba,2017-38,RAGE,u,126,0
Ituri,Mangala,2018-05,IRA,u,238,0
Ituri,Adi,2017-42,MENINGITE,u,66,0
Ituri,Nizi,2016-45,PFA,u,60,0
Ituri,Linga,2017-32,PFA,u,56,0
Ituri,Gety,2016-30,COQUELUCHE,u,55,0
Ituri,Ariwara,2016-25,ROUGEOLE,u,192,0
Ituri,Lolwa,2016-38,FIEVRE HEMORRAGIQUE EBOLA,u,88,0
Ituri,Rimba,2016-44,IRA,u,102,3
Ituri,Angumu,2016-24,FIEVRE HEMORRAGIQUE EBOLA,u,24,2
Ituri,Angumu,2016-34,TNN,u,114,1
Ituri,Tchomia,2017-33,FIEVRE HEMORRAGIQUE EBOLA,u,190,0
Ituri,Fataki,2017-18,IRA,u,64,0
Ituri,Bambu-Mines,2016-37,PESTE,u,88,2
Ituri,Mandima,2018-03,TNN,u,76,0
Ituri,Jiba,2017-42,FIEVRE JAUNE,u,180,0
Ituri,Jiba,2017-40,PESTE,u,110,0
Ituri,Mongbwalu,2016-36,TNN,u,216,0
Ituri,Jiba,2017-32,FIEVRE TYPHOIDE,u,280,2
Ituri,Aungba,2016-38,DECES MATERNEL,u,2,0
Ituri,Drodro,2018-14,COQUELUCHE,u,140,0
Ituri,Nyankunde,2017-27,DECES MATERNEL,u,32,0
Ituri,Nyankunde,2017-16,PFA,u,130,0
Ituri,Adi,2018-06,IRA,u,45,0
Ituri,Bambu-Mines,2017-26,TNN,u,0,0
Ituri,Rimba,2018-14,FIEVRE JAUNE,u,72,0
Ituri,Rimba,2016-41,DIARR SANGLANTE,u,18,2
Ituri,Ariwara,2017-36,DECES MATERNEL,u,80,0
Ituri,Bambu-Mines,2018-03,DIARR SANGLANTE,u,84,0
Ituri,Boga,2017-22,DIARR SANGLANTE,u,60,0
Ituri,Fataki,2017-22,DECES MATERNEL,u,10,0
Ituri,Logo,2018-01,PESTE,u,36,0
Ituri,Rimba,2017-42,PESTE,u,380,0
Ituri,Rimba,2016-50,CHOLERA,u,80,0
Ituri,Bunia,2017-11,MENINGITE,u,0,0
Ituri,Lolwa,2017-11,PESTE,u,24,0
Ituri,Komanda,2016-36,FIEVRE HEMORRAGIQUE EBOLA,u,40,6
Ituri,Laybo,2017-28,PESTE,u,104,0
Ituri,Rwampara,2016-50,PFA,u,180,0
Ituri,Fataki,2017-44,FIEVRE TYPHOIDE,u,54,0
Ituri,Lolwa,2017-16,IRA,u,176,0
Ituri,Aungba,2017-18,CHOLERA,u,224,0
Ituri,Kambala,2017-06,COQUELUCHE,u,144,0
Ituri,Lolwa,2016-35,FIEVRE TYPHOIDE,u,24,2
Ituri,Linga,2017-26,MENINGITE,u,150,0
Ituri,Adi,2017-24,COQUELUCHE,u,32,0
Ituri,Damas,2017-37,FIEVRE HEMORRAGIQUE EBOLA,u,64,0
Ituri,Nyarambe,2016-39,FIEVRE JAUNE,u,64,0
Ituri,Bunia,2017-12,COQUELUCHE,u,150,0
Ituri,Angumu,2016-21,FIEVRE JAUNE,u,42,0
Ituri,Bunia,2016-52,DIARR SANGLANTE,u,12,0
Ituri,Boga,2017-21,FIEVRE HEMORRAGIQUE EBOLA,u,160,0
Ituri,Kambala,2016-25,TNN,u,126,0
Ituri,Nyarambe,2017-37,MENINGITE,u,200,0
Ituri,Logo,2016-50,TNN,u,48,0
Ituri,Logo,2016-36,IRA,u,38,0
Ituri,Gety,2016-29,IRA,u,180,0
Ituri,Damas,2016-27,FIEVRE JAUNE,u,96,0
Ituri,Rimba,2017-03,FIEVRE TYPHOIDE,u,63,0
Ituri,Angumu,2016-23,IRA,u,190,0
Ituri,Mambasa,2016-29,FIEVRE TYPHOIDE,u,98,0
Ituri,Nyankunde,2017-08,CHOLERA,u,300,0
Ituri,Kilo,2017-45,FIEVRE HEMORRAGIQUE EBOLA,u,72,0
Ituri,Nyankunde,2017-14,RAGE,u,20,0
Ituri,Mangala,2017-15,FIEVRE TYPHOIDE,u,190,0
Ituri,Lolwa,2018-13,ROUGEOLE,u,126,0
Ituri,Rethy,2018-05,PALUDISME,u,85,0
Ituri,Lita,2017-05,FIEVRE TYPHOIDE,u,84,4
Ituri,Fataki,2018-04,DIARR SANGLANTE,u,112,0
Ituri,Kambala,2017-05,TNN,u,100,0
Ituri,Rethy,2018-02,PESTE,u,15,0
Ituri,Kambala,2017-23,PESTE,u,10,2
Ituri,Mahagi,2018-14,CHOLERA,u,78,0
Ituri,Mandima,2017-32,TNN,u,360,0
Ituri,Drodro,2017-43,FIEVRE HEMORRAGIQUE EBOLA,u,306,0
Ituri,Komanda,2017-10,ROUGEOLE,u,30,0
Ituri,Adja,2016-44,PALUDISME,u,100,3
Ituri,Lita,2017-43,RAGE,u,66,0
Ituri,Boga,2016-28,PALUDISME,u,133,0
Ituri,Mangala,2018-15,FIEVRE HEMORRAGIQUE EBOLA,u,72,0
Ituri,Rimba,2017-50,PALUDISME,u,42,0
Ituri,Mongbwalu,2017-16,CHOLERA,u,0,0
Ituri,Boga,2017-16,FIEVRE HEMORRAGIQUE EBOLA,u,340,0
Ituri,Nia-Nia,2016-22,FIEVRE JAUNE,u,32,0
Ituri,Ariwara,2016-24,COQUELUCHE,u,28,0
Ituri,Angumu,2018-07,RAGE,u,42,0
Ituri,Laybo,2018-01,IRA,u,15,0
Ituri,Nyarambe,2017-34,DECES MATERNEL,u,8,0
Ituri,Laybo,2018-09,TNN,u,54,0
Ituri,Ariwara,2017-06,CHOLERA,u,16,0
Ituri,Lolwa,2017-14,FIEVRE TYPHOIDE,u,70,0
Ituri,Rimba,2017-07,IRA,u,18,0
Ituri,Angumu,2018-09,FIEVRE HEMORRAGIQUE EBOLA,u,90,0
Ituri,Mandima,2017-41,FIEVRE TYPHOIDE,u,4,0
Ituri,Nyankunde,2017-14,FIEVRE HEMORRAGIQUE EBOLA,u,98,3
Ituri,Damas,2017-17,PALUDISME,u,144,0
Ituri,Kilo,2017-46,FIEVRE TYPHOIDE,u,72,0
Ituri,Rwampara,2017-20,CHOLERA,u,170,0
Ituri,Aungba,2017-47,CHOLERA,u,135,0
Ituri,Mandima,2017-05,PFA,u,36,2
Ituri,Drodro,2018-10,CHOLERA,u,24,0
Ituri,Gety,2018-09,TNN,u,40,0
Ituri,Mangala,2018-04,CHOLERA,u,9,0
Ituri,Bunia,2018-02,MENINGITE,u,0,0
Ituri,Lita,2017-41,PALUDISME,u,14,0
Ituri,Fataki,2018-18,FIEVRE JAUNE,u,72,6
Ituri,Linga,2018-13,CHOLERA,u,84,0
Ituri,Tchomia,2017-11,PALUDISME,u,192,0
Ituri,Lita,2016-24,TNN,u,360,0
Ituri,Drodro,2017-44,DECES MATERNEL,u,224,0
Ituri,Mandima,2017-25,PESTE,u,108,4
Ituri,Lolwa,2017-43,DIARR SANGLANTE,u,70,0
Ituri,Angumu,2016-27,PFA,u,0,0
Ituri,Nyankunde,2017-34,TNN,u,0,0
Ituri,Nizi,2018-02,COQUELUCHE,u,132,0
Ituri,Mandima,2017-52,IRA,u,3,0
Ituri,Nia-Nia,2017-04,FIEVRE HEMORRAGIQUE EBOLA,u,40,0
Ituri,Mandima,2017-48,FIEVRE TYPHOIDE,u,162,0
Ituri,Kambala,2016-35,MENINGITE,u,7,0
Ituri,Komanda,2018-18,COQUELUCHE,u,22,0
Ituri,Rethy,2018-05,PESTE,u,150,0
Ituri,Boga,2017-10,PALUDISME,u,64,0
Ituri,Drodro,2017-12,CHOLERA,u,100,0
Ituri,Nizi,2017-46,TNN,u,30,0
Ituri,Aungba,2017-20,COQUELUCHE,u,224,0
Ituri,Adi,2018-05,FIEVRE JAUNE,u,96,6
Ituri,Kambala,2017-28,ROUGEOLE,u,112,0
Ituri,Aungba,2017-33,PESTE,u,30,0
Ituri,Mongbwalu,2016-24,RAGE,u,38,0
Ituri,Mandima,2018-17,PALUDISME,u,135,0
Ituri,Damas,2017-45,PALUDISME,u,108,0
Ituri,Logo,2017-43,PFA,u,30,4
Ituri,Linga,2017-23,FIEVRE TYPHOIDE,u,45,0
Ituri,Jiba,2017-22,PFA,u,320,2
Ituri,Rethy,2018-05,FIEVRE TYPHOIDE,u,54,0
Ituri,Kilo,2016-44,PFA,u,272,0
Ituri,Laybo,2016-40,PFA,u,0,2
Ituri,Lolwa,2017-15,COQUELUCHE,u,28,0
Ituri,Logo,2016-51,PFA,u,24,0
Ituri,Boga,2018-16,TNN,u,16,2
Ituri,Nizi,2017-25,PFA,u,33,0
Ituri,Angumu,2016-39,FIEVRE TYPHOIDE,u,36,0
Ituri,Adi,2018-17,PFA,u,16,6
Ituri,Bunia,2018-12,PALUDISME,u,224,0
Ituri,Gety,2018-06,IRA,u,72,0
Ituri,Bunia,2016-34,CHOLERA,u,380,0
Ituri,Bunia,2016-41,PFA,u,96,0
Ituri,Mandima,2017-31,FIEVRE TYPHOIDE,u,0,0
Ituri,Gety,2018-20,FIEVRE TYPHOIDE,u,27,0
Ituri,Adja,2017-36,FIEVRE TYPHOIDE,u,30,0
Ituri,Rimba,2018-11,FIEVRE TYPHOIDE,u,35,0
Ituri,Tchomia,2017-26,RAGE,u,20,0
Ituri,Drodro,2016-49,FIEVRE HEMORRAGIQUE EBOLA,u,119,0
Ituri,Angumu,2016-50,RAGE,u,12,0
Ituri,Damas,2016-51,DECES MATERNEL,u,64,0
Ituri,Logo,2018-10,CHOLERA,u,40,0
Ituri,Laybo,2017-15,FIEVRE JAUNE,u,54,0
Ituri,Mongbwalu,2017-39,RAGE,u,68,0
Ituri,Aru,2017-30,PESTE,u,60,0
Ituri,Aungba,2017-37,PFA,u,56,0
Ituri,Gety,2017-33,DECES MATERNEL,u,400,0
Ituri,Gety,2017-01,COQUELUCHE,u,16,0
Ituri,Aru,2018-16,RAGE,u,6,0
Ituri,Nyarambe,2016-41,IRA,u,168,0
Ituri,Aungba,2017-01,RAGE,u,30,0
Ituri,Mandima,2017-04,COQUELUCHE,u,11,3
Ituri,Laybo,2018-11,CHOLERA,u,0,0
Ituri,Rwampara,2017-08,PFA,u,56,0
Ituri,Adja,2017-03,MENINGITE,u,10,0
Ituri,Bunia,2017-29,TNN,u,68,0
