"disease","state","lga","epiweek","cas"
"Meningitis","Kebbi","Argungu","2017-02","7"
"Cholera","Kebbi","Argungu","2017-02","3"
"Meningitis","Kebbi","Augie","2017-02","5"
"Cholera","Kebbi","Augie","2017-02","2"
"Measles","Kebbi","Bagudo","2017-02","0"
"Meningitis","Kebbi","Bagudo","2017-02","1"
"Cholera","Kebbi","Bagudo","2017-02","1"
"Measles","Kebbi","Birnin Kebbi","2017-02","10"
"Meningitis","Kebbi","Birnin Kebbi","2017-02","7"
"Cholera","Kebbi","Birnin Kebbi","2017-02","34"
"Measles","Kebbi","Bunza","2017-02","0"
"Meningitis","Kebbi","Bunza","2017-02","0"
"Cholera","Kebbi","Bunza","2017-02","2"
"Measles","Kebbi","Dandi","2017-02","23"
"Meningitis","Kebbi","Dandi","2017-02","2"
"Cholera","Kebbi","Dandi","2017-02","2"
"Measles","Kebbi","Danko Wasagu","2017-02","0"
"Cholera","Kebbi","Danko Wasagu","2017-02","15"
"Meningitis","Kebbi","Fakai","2017-02","0"
"Cholera","Kebbi","Fakai","2017-02","0"
"Measles","Kebbi","Gwandu","2017-02","0"
"Meningitis","Kebbi","Gwandu","2017-02","0"
"Cholera","Kebbi","Gwandu","2017-02","5"
"Meningitis","Kebbi","Jega","2017-02","5"
"Cholera","Kebbi","Jega","2017-02","8"
"Measles","Kebbi","Kalgo","2017-02","3"
"Meningitis","Kebbi","Kalgo","2017-02","2"
"Cholera","Kebbi","Kalgo","2017-02","11"
"Measles","Kebbi","Koko Besse","2017-02","0"
"Meningitis","Kebbi","Koko Besse","2017-02","10"
"Cholera","Kebbi","Koko Besse","2017-02","0"
"Measles","Kebbi","Maiyama","2017-02","15"
"Meningitis","Kebbi","Maiyama","2017-02","2"
"Cholera","Kebbi","Maiyama","2017-02","14"
"Measles","Kebbi","Ngaski","2017-02","0"
"Meningitis","Kebbi","Ngaski","2017-02","0"
"Cholera","Kebbi","Ngaski","2017-02","0"
"Measles","Kebbi","Sakaba","2017-02","2"
"Meningitis","Kebbi","Sakaba","2017-02","5"
"Measles","Kebbi","Shanga","2017-02","8"
"Meningitis","Kebbi","Shanga","2017-02","0"
"Cholera","Kebbi","Shanga","2017-02","1"
"Measles","Kebbi","Suru","2017-02","0"
"Meningitis","Kebbi","Suru","2017-02","0"
"Cholera","Kebbi","Suru","2017-02","2"
"Measles","Kebbi","Yauri","2017-02","0"
"Meningitis","Kebbi","Yauri","2017-02","11"
"Cholera","Kebbi","Yauri","2017-02","18"
"Measles","Kebbi","Zuru","2017-02","0"
"Meningitis","Kebbi","Zuru","2017-02","3"
"Cholera","Kebbi","Zuru","2017-02","4"
"Measles","Niger","Agaie","2017-02","12"
"Meningitis","Niger","Agaie","2017-02","0"
"Cholera","Niger","Agaie","2017-02","2"
"Meningitis","Niger","Agwara","2017-02","0"
"Cholera","Niger","Agwara","2017-02","4"
"Measles","Niger","Bida","2017-02","0"
"Meningitis","Niger","Bida","2017-02","3"
"Cholera","Niger","Bida","2017-02","6"
"Measles","Niger","Borgu","2017-02","0"
"Meningitis","Niger","Borgu","2017-02","2"
"Cholera","Niger","Borgu","2017-02","1"
"Measles","Niger","Bosso","2017-02","2"
"Meningitis","Niger","Bosso","2017-02","0"
"Cholera","Niger","Bosso","2017-02","43"
"Measles","Niger","Chanchaga","2017-02","0"
"Meningitis","Niger","Chanchaga","2017-02","9"
"Cholera","Niger","Chanchaga","2017-02","37"
"Measles","Niger","Edati","2017-02","13"
"Meningitis","Niger","Edati","2017-02","0"
"Cholera","Niger","Edati","2017-02","2"
"Measles","Niger","Gbako","2017-02","0"
"Meningitis","Niger","Gbako","2017-02","15"
"Cholera","Niger","Gbako","2017-02","20"
"Measles","Niger","Gurara","2017-02","0"
"Meningitis","Niger","Gurara","2017-02","2"
"Cholera","Niger","Gurara","2017-02","0"
"Measles","Niger","Katcha","2017-02","2"
"Meningitis","Niger","Katcha","2017-02","3"
"Cholera","Niger","Katcha","2017-02","6"
"Measles","Niger","Kontagora","2017-02","22"
"Meningitis","Niger","Kontagora","2017-02","0"
"Cholera","Niger","Kontagora","2017-02","29"
"Measles","Niger","Lapai","2017-02","14"
"Meningitis","Niger","Lapai","2017-02","0"
"Cholera","Niger","Lapai","2017-02","0"
"Measles","Niger","Lavun","2017-02","0"
"Meningitis","Niger","Lavun","2017-02","0"
"Cholera","Niger","Lavun","2017-02","2"
"Meningitis","Niger","Magama","2017-02","15"
"Cholera","Niger","Magama","2017-02","4"
"Measles","Niger","Mariga","2017-02","9"
"Meningitis","Niger","Mariga","2017-02","26"
"Cholera","Niger","Mariga","2017-02","1"
"Meningitis","Niger","Mashegu","2017-02","1"
"Cholera","Niger","Mashegu","2017-02","3"
"Measles","Niger","Mokwa","2017-02","3"
"Meningitis","Niger","Mokwa","2017-02","3"
"Cholera","Niger","Mokwa","2017-02","0"
"Measles","Niger","Muya","2017-02","19"
"Meningitis","Niger","Muya","2017-02","3"
"Cholera","Niger","Muya","2017-02","105"
"Measles","Niger","Paikoro","2017-02","0"
"Meningitis","Niger","Paikoro","2017-02","0"
"Measles","Niger","Rafi","2017-02","14"
"Meningitis","Niger","Rafi","2017-02","16"
"Cholera","Niger","Rafi","2017-02","1"
"Measles","Niger","Rijau","2017-02","21"
"Cholera","Niger","Rijau","2017-02","1"
"Measles","Niger","Shiroro","2017-02","0"
"Meningitis","Niger","Shiroro","2017-02","3"
"Cholera","Niger","Shiroro","2017-02","0"
"Measles","Niger","Suleja","2017-02","13"
"Meningitis","Niger","Suleja","2017-02","5"
"Cholera","Niger","Suleja","2017-02","0"
"Meningitis","Niger","Tafa","2017-02","3"
"Cholera","Niger","Tafa","2017-02","14"
"Measles","Niger","Wushishi","2017-02","3"
"Meningitis","Niger","Wushishi","2017-02","0"
"Cholera","Niger","Wushishi","2017-02","2"
"Meningitis","Sokoto","Binji","2017-02","1"
"Cholera","Sokoto","Binji","2017-02","2"
"Measles","Sokoto","Bodinga","2017-02","0"
"Meningitis","Sokoto","Bodinga","2017-02","1"
"Cholera","Sokoto","Bodinga","2017-02","2"
"Measles","Sokoto","Dange Shuni","2017-02","0"
"Cholera","Sokoto","Dange Shuni","2017-02","7"
"Measles","Sokoto","Gada","2017-02","4"
"Cholera","Sokoto","Gada","2017-02","0"
"Measles","Sokoto","Goronyo","2017-02","7"
"Meningitis","Sokoto","Goronyo","2017-02","6"
"Cholera","Sokoto","Goronyo","2017-02","0"
"Measles","Sokoto","Gudu","2017-02","0"
"Meningitis","Sokoto","Gudu","2017-02","8"
"Cholera","Sokoto","Gudu","2017-02","0"
"Measles","Sokoto","Gwadabawa","2017-02","0"
"Meningitis","Sokoto","Gwadabawa","2017-02","3"
"Cholera","Sokoto","Gwadabawa","2017-02","5"
"Measles","Sokoto","Illela","2017-02","58"
"Meningitis","Sokoto","Illela","2017-02","0"
"Cholera","Sokoto","Illela","2017-02","0"
"Measles","Sokoto","Isa","2017-02","0"
"Meningitis","Sokoto","Isa","2017-02","0"
"Cholera","Sokoto","Isa","2017-02","36"
"Measles","Sokoto","Kebbe","2017-02","1"
"Meningitis","Sokoto","Kebbe","2017-02","9"
"Cholera","Sokoto","Kebbe","2017-02","17"
"Measles","Sokoto","Kware","2017-02","7"
"Meningitis","Sokoto","Kware","2017-02","0"
"Cholera","Sokoto","Kware","2017-02","18"
"Measles","Sokoto","Rabah","2017-02","7"
"Meningitis","Sokoto","Rabah","2017-02","17"
"Measles","Sokoto","Sabon Birni","2017-02","0"
"Meningitis","Sokoto","Sabon Birni","2017-02","0"
"Cholera","Sokoto","Sabon Birni","2017-02","0"
"Measles","Sokoto","Shagari","2017-02","1"
"Meningitis","Sokoto","Shagari","2017-02","1"
"Cholera","Sokoto","Shagari","2017-02","8"
"Measles","Sokoto","Silame","2017-02","17"
"Meningitis","Sokoto","Silame","2017-02","42"
"Cholera","Sokoto","Silame","2017-02","0"
"Measles","Sokoto","Sokoto North","2017-02","0"
"Meningitis","Sokoto","Sokoto North","2017-02","1"
"Measles","Sokoto","Sokoto South","2017-02","4"
"Meningitis","Sokoto","Sokoto South","2017-02","0"
"Cholera","Sokoto","Sokoto South","2017-02","40"
"Measles","Sokoto","Tambuwal","2017-02","15"
"Meningitis","Sokoto","Tambuwal","2017-02","12"
"Cholera","Sokoto","Tambuwal","2017-02","0"
"Measles","Sokoto","Tangaza","2017-02","0"
"Meningitis","Sokoto","Tangaza","2017-02","14"
"Measles","Sokoto","Tureta","2017-02","11"
"Meningitis","Sokoto","Tureta","2017-02","11"
"Cholera","Sokoto","Tureta","2017-02","1"
"Measles","Sokoto","Wamako","2017-02","0"
"Meningitis","Sokoto","Wamako","2017-02","3"
"Cholera","Sokoto","Wamako","2017-02","7"
"Measles","Sokoto","Wurno","2017-02","0"
"Meningitis","Sokoto","Wurno","2017-02","0"
"Cholera","Sokoto","Wurno","2017-02","1"
"Measles","Sokoto","Yabo","2017-02","7"
"Meningitis","Sokoto","Yabo","2017-02","7"
"Measles","Zamfara","Anka","2017-02","5"
"Measles","Zamfara","Bakura","2017-02","6"
"Meningitis","Zamfara","Bakura","2017-02","0"
"Cholera","Zamfara","Bakura","2017-02","3"
"Measles","Zamfara","Birnin Magaji","2017-02","10"
"Meningitis","Zamfara","Birnin Magaji","2017-02","0"
"Cholera","Zamfara","Birnin Magaji","2017-02","47"
"Measles","Zamfara","Bukkuyum","2017-02","0"
"Meningitis","Zamfara","Bukkuyum","2017-02","4"
"Cholera","Zamfara","Bukkuyum","2017-02","3"
"Meningitis","Zamfara","Bungudu","2017-02","1"
"Measles","Zamfara","Gummi","2017-02","82"
"Cholera","Zamfara","Gummi","2017-02","1"
"Measles","Zamfara","Gusau","2017-02","9"
"Cholera","Zamfara","Gusau","2017-02","0"
"Measles","Zamfara","Kaura Namoda","2017-02","0"
"Meningitis","Zamfara","Kaura Namoda","2017-02","0"
"Measles","Zamfara","Maradun","2017-02","0"
"Meningitis","Zamfara","Maradun","2017-02","29"
"Cholera","Zamfara","Maradun","2017-02","2"
"Measles","Zamfara","Maru","2017-02","20"
"Meningitis","Zamfara","Maru","2017-02","1"
"Cholera","Zamfara","Maru","2017-02","13"
"Measles","Zamfara","Shinkafi","2017-02","0"
"Meningitis","Zamfara","Shinkafi","2017-02","7"
"Cholera","Zamfara","Shinkafi","2017-02","7"
"Measles","Zamfara","Talata Mafara","2017-02","19"
"Meningitis","Zamfara","Talata Mafara","2017-02","8"
"Cholera","Zamfara","Talata Mafara","2017-02","0"
"Measles","Zamfara","Tsafe","2017-02","14"
"Meningitis","Zamfara","Tsafe","2017-02","4"
"Cholera","Zamfara","Tsafe","2017-02","2"
"Measles","Zamfara","Zurmi","2017-02","2"
"Meningitis","Zamfara","Zurmi","2017-02","0"
"Cholera","Zamfara","Zurmi","2017-02","13"
"Measles","Sokoto","Binji","2017-03","0"
"Meningitis","Sokoto","Binji","2017-03","8"
"Cholera","Sokoto","Binji","2017-03","4"
"Measles","Sokoto","Bodinga","2017-03","4"
"Meningitis","Sokoto","Bodinga","2017-03","6"
"Cholera","Sokoto","Bodinga","2017-03","0"
"Measles","Sokoto","Dange Shuni","2017-03","10"
"Meningitis","Sokoto","Dange Shuni","2017-03","20"
"Measles","Sokoto","Gada","2017-03","0"
"Meningitis","Sokoto","Gada","2017-03","5"
"Measles","Sokoto","Goronyo","2017-03","0"
"Meningitis","Sokoto","Goronyo","2017-03","1"
"Cholera","Sokoto","Goronyo","2017-03","0"
"Measles","Sokoto","Gudu","2017-03","20"
"Meningitis","Sokoto","Gudu","2017-03","9"
"Cholera","Sokoto","Gudu","2017-03","0"
"Measles","Sokoto","Gwadabawa","2017-03","13"
"Meningitis","Sokoto","Gwadabawa","2017-03","1"
"Cholera","Sokoto","Gwadabawa","2017-03","0"
"Measles","Sokoto","Illela","2017-03","8"
"Meningitis","Sokoto","Illela","2017-03","25"
"Cholera","Sokoto","Illela","2017-03","5"
"Measles","Sokoto","Isa","2017-03","3"
"Meningitis","Sokoto","Isa","2017-03","0"
"Cholera","Sokoto","Isa","2017-03","0"
"Measles","Sokoto","Kebbe","2017-03","8"
"Meningitis","Sokoto","Kebbe","2017-03","0"
"Cholera","Sokoto","Kebbe","2017-03","0"
"Measles","Sokoto","Kware","2017-03","55"
"Meningitis","Sokoto","Kware","2017-03","5"
"Cholera","Sokoto","Kware","2017-03","31"
"Measles","Sokoto","Rabah","2017-03","0"
"Meningitis","Sokoto","Rabah","2017-03","0"
"Measles","Sokoto","Sabon Birni","2017-03","6"
"Meningitis","Sokoto","Sabon Birni","2017-03","0"
"Cholera","Sokoto","Sabon Birni","2017-03","0"
"Measles","Sokoto","Shagari","2017-03","0"
"Meningitis","Sokoto","Shagari","2017-03","0"
"Cholera","Sokoto","Shagari","2017-03","16"
"Measles","Sokoto","Silame","2017-03","39"
"Meningitis","Sokoto","Silame","2017-03","12"
"Cholera","Sokoto","Silame","2017-03","43"
"Measles","Sokoto","Sokoto North","2017-03","12"
"Meningitis","Sokoto","Sokoto North","2017-03","4"
"Cholera","Sokoto","Sokoto North","2017-03","0"
"Measles","Sokoto","Sokoto South","2017-03","0"
"Meningitis","Sokoto","Sokoto South","2017-03","0"
"Cholera","Sokoto","Sokoto South","2017-03","12"
"Measles","Sokoto","Tambuwal","2017-03","0"
"Meningitis","Sokoto","Tambuwal","2017-03","6"
"Meningitis","Sokoto","Tangaza","2017-03","3"
"Cholera","Sokoto","Tangaza","2017-03","0"
"Measles","Sokoto","Tureta","2017-03","38"
"Meningitis","Sokoto","Tureta","2017-03","0"
"Cholera","Sokoto","Tureta","2017-03","4"
"Measles","Sokoto","Wamako","2017-03","13"
"Cholera","Sokoto","Wamako","2017-03","33"
"Measles","Sokoto","Wurno","2017-03","0"
"Meningitis","Sokoto","Wurno","2017-03","0"
"Cholera","Sokoto","Wurno","2017-03","1"
"Measles","Sokoto","Yabo","2017-03","9"
"Meningitis","Sokoto","Yabo","2017-03","5"
"Cholera","Sokoto","Yabo","2017-03","4"
"Meningitis","Kebbi","Aliero","2017-03","22"
"Cholera","Kebbi","Aliero","2017-03","6"
"Measles","Kebbi","Arewa","2017-03","16"
"Meningitis","Kebbi","Arewa","2017-03","15"
"Cholera","Kebbi","Arewa","2017-03","0"
"Measles","Kebbi","Argungu","2017-03","0"
"Meningitis","Kebbi","Argungu","2017-03","19"
"Measles","Kebbi","Augie","2017-03","0"
"Meningitis","Kebbi","Augie","2017-03","0"
"Cholera","Kebbi","Augie","2017-03","0"
"Measles","Kebbi","Bagudo","2017-03","0"
"Cholera","Kebbi","Bagudo","2017-03","1"
"Meningitis","Kebbi","Birnin Kebbi","2017-03","1"
"Cholera","Kebbi","Birnin Kebbi","2017-03","5"
"Measles","Kebbi","Bunza","2017-03","15"
"Cholera","Kebbi","Bunza","2017-03","1"
"Measles","Kebbi","Dandi","2017-03","0"
"Meningitis","Kebbi","Dandi","2017-03","10"
"Cholera","Kebbi","Dandi","2017-03","0"
"Measles","Kebbi","Danko Wasagu","2017-03","2"
"Meningitis","Kebbi","Danko Wasagu","2017-03","17"
"Cholera","Kebbi","Danko Wasagu","2017-03","0"
"Measles","Kebbi","Fakai","2017-03","0"
"Meningitis","Kebbi","Fakai","2017-03","6"
"Cholera","Kebbi","Fakai","2017-03","6"
"Measles","Kebbi","Gwandu","2017-03","0"
"Meningitis","Kebbi","Gwandu","2017-03","1"
"Cholera","Kebbi","Gwandu","2017-03","0"
"Measles","Kebbi","Jega","2017-03","2"
"Cholera","Kebbi","Jega","2017-03","0"
"Measles","Kebbi","Kalgo","2017-03","0"
"Meningitis","Kebbi","Kalgo","2017-03","1"
"Cholera","Kebbi","Kalgo","2017-03","26"
"Measles","Kebbi","Koko Besse","2017-03","8"
"Meningitis","Kebbi","Koko Besse","2017-03","0"
"Cholera","Kebbi","Koko Besse","2017-03","1"
"Measles","Kebbi","Maiyama","2017-03","5"
"Meningitis","Kebbi","Maiyama","2017-03","3"
"Cholera","Kebbi","Maiyama","2017-03","4"
"Measles","Kebbi","Ngaski","2017-03","3"
"Meningitis","Kebbi","Ngaski","2017-03","0"
"Cholera","Kebbi","Ngaski","2017-03","2"
"Measles","Kebbi","Sakaba","2017-03","0"
"Meningitis","Kebbi","Sakaba","2017-03","0"
"Cholera","Kebbi","Sakaba","2017-03","0"
"Measles","Kebbi","Shanga","2017-03","0"
"Meningitis","Kebbi","Shanga","2017-03","1"
"Cholera","Kebbi","Shanga","2017-03","6"
"Measles","Kebbi","Suru","2017-03","50"
