"disease","district","region","epiweek","cas","dec"
"Suspicion de Paludisme","Alifat","Batha","2017-01","","1"
"Suspicion de Paludisme","Assinet","Batha","2017-01","",""
"Suspicion de Paludisme","Yao","Batha","2017-01","","1"
"Suspicion de Paludisme","Amdjarasse","Ennedi Est","2017-01","16",""
"Suspicion de Paludisme","Bahaï","Ennedi Est","2017-01","",""
"Suspicion de Paludisme","Kawra","Ennedi Est","2017-01","21",""
"Suspicion de Paludisme","Fada","Ennedi Ouest","2017-01","",""
"Suspicion de Paludisme","Kalaït","Ennedi Ouest","2017-01","3","1"
"Suspicion de Paludisme","Massenya","Chari-Baguirmi","2017-01","",""
"Suspicion de Paludisme","Dourbali","Chari-Baguirmi","2017-01","36",""
"Suspicion de Paludisme","Mandalia","Chari-Baguirmi","2017-01","","2"
"Suspicion de Paludisme","Bousso","Chari-Baguirmi","2017-01","",""
"Suspicion de Paludisme","Ba Illi","Chari-Baguirmi","2017-01","",""
"Suspicion de Paludisme","Kouno","Chari-Baguirmi","2017-01","4",""
"Suspicion de Paludisme","Mongo","Guera","2017-01","",""
"Suspicion de Paludisme","Bitkine","Guera","2017-01","",""
"Suspicion de Paludisme","Melfi","Guera","2017-01","32",""
"Suspicion de Paludisme","Mangalme","Guera","2017-01","20","2"
"Suspicion de Paludisme","Massakory","Hadjer Lamis","2017-01","","2"
"Suspicion de Paludisme","Bokoro","Hadjer Lamis","2017-01","",""
"Suspicion de Paludisme","Massaguet","Hadjer Lamis","2017-01","",""
"Suspicion de Paludisme","Mani","Hadjer Lamis","2017-01","","1"
"Suspicion de Paludisme","Bardai","Tibesti","2017-01","","2"
"Suspicion de Paludisme","Zouar","Tibesti","2017-01","23",""
"Suspicion de Paludisme","Mao","Kanem","2017-01","",""
"Suspicion de Paludisme","Nokou","Kanem","2017-01","19","1"
"Suspicion de Paludisme","Rig Rig","Kanem","2017-01","1","1"
"Suspicion de Paludisme","Mondo","Kanem","2017-01","5",""
"Suspicion de Paludisme","Moussoro","Barh-Elgazal","2017-01","",""
"Suspicion de Paludisme","Chaddra","Barh-Elgazal","2017-01","","1"
"Suspicion de Paludisme","Salal","Barh-Elgazal","2017-01","5",""
"Suspicion de Paludisme","Michemire","Barh-Elgazal","2017-01","4",""
"Suspicion de Paludisme","Bol","Lac","2017-01","23","1"
"Suspicion de Paludisme","Bagassoula","Lac","2017-01","2","1"
"Suspicion de Paludisme","Ngouri","Lac","2017-01","","2"
"Suspicion de Paludisme","Kouloudia","Lac","2017-01","","1"
"Suspicion de Paludisme","Liwa","Lac","2017-01","1","1"
"Suspicion de Paludisme","Isseirom","Lac","2017-01","",""
"Suspicion de Paludisme","Moundou","Logone Occidental","2017-01","",""
"Suspicion de Paludisme","Laokassy","Logone Occidental","2017-01","","1"
"Suspicion de Paludisme","Benoye","Logone Occidental","2017-01","",""
"Suspicion de Paludisme","Doba","Logone Oriental","2017-01","21",""
"Suspicion de Paludisme","Bodo","Logone Oriental","2017-01","2",""
"Suspicion de Paludisme","Bebeto","Logone Oriental","2017-01","2",""
"Suspicion de Paludisme","Bébédja","Logone Oriental","2017-01","20",""
"Suspicion de Paludisme","Gore","Logone Oriental","2017-01","2",""
"Suspicion de Paludisme","Béssao","Logone Oriental","2017-01","12","1"
"Suspicion de Paludisme","Larmanaye","Logone Oriental","2017-01","3",""
"Suspicion de Paludisme","Koumra","Mandoul","2017-01","11",""
"Suspicion de Paludisme","Goundi","Mandoul","2017-01","",""
"Suspicion de Paludisme","Moissala","Mandoul","2017-01","",""
"Suspicion de Paludisme","Bedjondo","Mandoul","2017-01","16",""
"Suspicion de Paludisme","Bouna","Mandoul","2017-01","3","2"
"Suspicion de Paludisme","Bongor","Mayo-Kebbi-Est","2017-01","6",""
"Suspicion de Paludisme","Gounou Gaya","Mayo-Kebbi-Est","2017-01","8",""
"Suspicion de Paludisme","Guelendeng","Mayo-Kebbi-Est","2017-01","2",""
"Suspicion de Paludisme","Fianga","Mayo-Kebbi-Est","2017-01","",""
"Suspicion de Paludisme","Pont Carol","Mayo-Kebbi-Est","2017-01","",""
"Suspicion de Paludisme","Moulkou","Mayo-Kebbi-Est","2017-01","2","1"
"Suspicion de Paludisme","Youe","Mayo-Kebbi-Est","2017-01","1",""
"Suspicion de Paludisme","Pala","Mayo-Kebbi-Ouest","2017-01","2",""
"Suspicion de Paludisme","Lere","Mayo-Kebbi-Ouest","2017-01","6",""
"Suspicion de Paludisme","Gagal","Mayo-Kebbi-Ouest","2017-01","6",""
"Suspicion de Paludisme","Torrock","Mayo-Kebbi-Ouest","2017-01","15",""
"Suspicion de Paludisme","Lagon","Mayo-Kebbi-Ouest","2017-01","7",""
"Suspicion de Paludisme","Binder","Mayo-Kebbi-Ouest","2017-01","1","1"
"Suspicion de Paludisme","Lame","Mayo-Kebbi-Ouest","2017-01","",""
"Suspicion de Paludisme","Sarh","Moyen-Chari","2017-01","12",""
"Suspicion de Paludisme","Danamadji","Moyen-Chari","2017-01","9",""
"Suspicion de Paludisme","Kyabe","Moyen-Chari","2017-01","3",""
"Suspicion de Paludisme","Biobé Singako","Moyen-Chari","2017-01","",""
"Suspicion de Paludisme","Ndjamena-Nord","Ndjamena","2017-01","2",""
"Suspicion de Paludisme","Ndjamena-Centre","Ndjamena","2017-01","5","2"
"Suspicion de Paludisme","Ndjamena-Sud","Ndjamena","2017-01","17","1"
"Suspicion de Paludisme","Ndjamena-Est","Ndjamena","2017-01","4",""
"Suspicion de Paludisme","Faya","Borkou","2017-01","",""
"Suspicion de Paludisme","Kirdimi","Borkou","2017-01","2",""
"Suspicion de Paludisme","Abeche","Ouaddai","2017-01","21","1"
"Suspicion de Paludisme","Abdi","Ouaddai","2017-01","",""
"Suspicion de Paludisme","Adre","Ouaddai","2017-01","2","1"
"Suspicion de Paludisme","Abougoudam","Ouaddai","2017-01","17","2"
"Suspicion de Paludisme","Gozbeida","Sila","2017-01","3","1"
"Suspicion de Paludisme","Amdam","Sila","2017-01","6","1"
"Suspicion de Paludisme","Tissi","Sila","2017-01","16",""
"Suspicion de Paludisme","Koukou Angarana","Sila","2017-01","6",""
"Suspicion de Paludisme","Amtiman","Salamat","2017-01","27",""
"Suspicion de Paludisme","Aboudeia","Salamat","2017-01","1","1"
"Suspicion de Paludisme","Haraze Mangueigne","Salamat","2017-01","",""
"Suspicion de Paludisme","Lai","Tandjile","2017-01","",""
"Suspicion de Paludisme","Dono Manga","Tandjile","2017-01","",""
"Suspicion de Paludisme","Kelo","Tandjile","2017-01","","1"
"Suspicion de Paludisme","Bere","Tandjile","2017-01","5",""
"Suspicion de Paludisme","Daffra","Tandjile","2017-01","9",""
"Suspicion de Paludisme","Biltine","Wadi Fira","2017-01","",""
"Suspicion de Paludisme","Guereda","Wadi Fira","2017-01","",""
"Suspicion de Paludisme","Iriba","Wadi Fira","2017-01","10",""
"Suspicion de Paludisme","Matadjana","Wadi Fira","2017-01","","1"
"Paludisme Confirmé","Ati","Batha","2017-01","1",""
"Paludisme Confirmé","Oum Hadjer","Batha","2017-01","13",""
"Paludisme Confirmé","Alifat","Batha","2017-01","5",""
"Paludisme Confirmé","Assinet","Batha","2017-01","",""
"Paludisme Confirmé","Yao","Batha","2017-01","",""
"Paludisme Confirmé","Amdjarasse","Ennedi Est","2017-01","7",""
"Paludisme Confirmé","Bahaï","Ennedi Est","2017-01","2","1"
"Paludisme Confirmé","Kawra","Ennedi Est","2017-01","","2"
"Paludisme Confirmé","Fada","Ennedi Ouest","2017-01","1",""
"Paludisme Confirmé","Kalaït","Ennedi Ouest","2017-01","11",""
"Paludisme Confirmé","Massenya","Chari-Baguirmi","2017-01","",""
"Paludisme Confirmé","Dourbali","Chari-Baguirmi","2017-01","",""
"Paludisme Confirmé","Mandalia","Chari-Baguirmi","2017-01","",""
"Paludisme Confirmé","Bousso","Chari-Baguirmi","2017-01","3",""
"Paludisme Confirmé","Ba Illi","Chari-Baguirmi","2017-01","3",""
"Paludisme Confirmé","Kouno","Chari-Baguirmi","2017-01","","1"
"Paludisme Confirmé","Mongo","Guera","2017-01","15",""
"Paludisme Confirmé","Bitkine","Guera","2017-01","3","1"
"Paludisme Confirmé","Melfi","Guera","2017-01","3",""
"Paludisme Confirmé","Mangalme","Guera","2017-01","1",""
"Paludisme Confirmé","Massakory","Hadjer Lamis","2017-01","",""
"Paludisme Confirmé","Bokoro","Hadjer Lamis","2017-01","",""
"Paludisme Confirmé","Massaguet","Hadjer Lamis","2017-01","1","2"
"Paludisme Confirmé","Mani","Hadjer Lamis","2017-01","17",""
"Paludisme Confirmé","Bardai","Tibesti","2017-01","2",""
"Paludisme Confirmé","Zouar","Tibesti","2017-01","","1"
"Paludisme Confirmé","Mao","Kanem","2017-01","7",""
"Paludisme Confirmé","Nokou","Kanem","2017-01","",""
"Paludisme Confirmé","Rig Rig","Kanem","2017-01","",""
"Paludisme Confirmé","Mondo","Kanem","2017-01","2",""
"Paludisme Confirmé","Moussoro","Barh-Elgazal","2017-01","",""
"Paludisme Confirmé","Chaddra","Barh-Elgazal","2017-01","1",""
"Paludisme Confirmé","Salal","Barh-Elgazal","2017-01","4",""
"Paludisme Confirmé","Michemire","Barh-Elgazal","2017-01","",""
"Paludisme Confirmé","Bol","Lac","2017-01","1",""
"Paludisme Confirmé","Bagassoula","Lac","2017-01","","1"
"Paludisme Confirmé","Ngouri","Lac","2017-01","","2"
"Paludisme Confirmé","Kouloudia","Lac","2017-01","15",""
"Paludisme Confirmé","Liwa","Lac","2017-01","",""
"Paludisme Confirmé","Isseirom","Lac","2017-01","13",""
"Paludisme Confirmé","Moundou","Logone Occidental","2017-01","6",""
"Paludisme Confirmé","Laokassy","Logone Occidental","2017-01","2",""
"Paludisme Confirmé","Benoye","Logone Occidental","2017-01","","1"
"Paludisme Confirmé","Doba","Logone Oriental","2017-01","2",""
"Paludisme Confirmé","Bodo","Logone Oriental","2017-01","",""
"Paludisme Confirmé","Bebeto","Logone Oriental","2017-01","1",""
"Paludisme Confirmé","Bébédja","Logone Oriental","2017-01","",""
"Paludisme Confirmé","Gore","Logone Oriental","2017-01","3",""
"Paludisme Confirmé","Béssao","Logone Oriental","2017-01","27","2"
"Paludisme Confirmé","Larmanaye","Logone Oriental","2017-01","4",""
"Paludisme Confirmé","Koumra","Mandoul","2017-01","",""
"Paludisme Confirmé","Goundi","Mandoul","2017-01","",""
"Paludisme Confirmé","Moissala","Mandoul","2017-01","1",""
"Paludisme Confirmé","Bedjondo","Mandoul","2017-01","1","1"
"Paludisme Confirmé","Bouna","Mandoul","2017-01","","1"
"Paludisme Confirmé","Bongor","Mayo-Kebbi-Est","2017-01","","2"
"Paludisme Confirmé","Gounou Gaya","Mayo-Kebbi-Est","2017-01","7",""
"Paludisme Confirmé","Guelendeng","Mayo-Kebbi-Est","2017-01","14",""
"Paludisme Confirmé","Fianga","Mayo-Kebbi-Est","2017-01","7",""
"Paludisme Confirmé","Pont Carol","Mayo-Kebbi-Est","2017-01","5","1"
"Paludisme Confirmé","Moulkou","Mayo-Kebbi-Est","2017-01","","1"
"Paludisme Confirmé","Youe","Mayo-Kebbi-Est","2017-01","1",""
"Paludisme Confirmé","Pala","Mayo-Kebbi-Ouest","2017-01","6","1"
"Paludisme Confirmé","Lere","Mayo-Kebbi-Ouest","2017-01","2",""
"Paludisme Confirmé","Gagal","Mayo-Kebbi-Ouest","2017-01","2",""
"Paludisme Confirmé","Torrock","Mayo-Kebbi-Ouest","2017-01","",""
"Paludisme Confirmé","Lagon","Mayo-Kebbi-Ouest","2017-01","11",""
"Paludisme Confirmé","Binder","Mayo-Kebbi-Ouest","2017-01","",""
"Paludisme Confirmé","Lame","Mayo-Kebbi-Ouest","2017-01","3",""
"Paludisme Confirmé","Sarh","Moyen-Chari","2017-01","2",""
"Paludisme Confirmé","Danamadji","Moyen-Chari","2017-01","4",""
"Paludisme Confirmé","Kyabe","Moyen-Chari","2017-01","5",""
"Paludisme Confirmé","Biobé Singako","Moyen-Chari","2017-01","",""
"Paludisme Confirmé","Ndjamena-Nord","Ndjamena","2017-01","4","1"
"Paludisme Confirmé","Ndjamena-Centre","Ndjamena","2017-01","11",""
"Paludisme Confirmé","Ndjamena-Sud","Ndjamena","2017-01","",""
"Paludisme Confirmé","Ndjamena-Est","Ndjamena","2017-01","10",""
"Paludisme Confirmé","Faya","Borkou","2017-01","4",""
"Paludisme Confirmé","Kirdimi","Borkou","2017-01","3",""
"Paludisme Confirmé","Abeche","Ouaddai","2017-01","","1"
"Paludisme Confirmé","Abdi","Ouaddai","2017-01","4",""
"Paludisme Confirmé","Adre","Ouaddai","2017-01","5","2"
"Paludisme Confirmé","Abougoudam","Ouaddai","2017-01","",""
"Paludisme Confirmé","Gozbeida","Sila","2017-01","9",""
"Paludisme Confirmé","Amdam","Sila","2017-01","3","1"
"Paludisme Confirmé","Tissi","Sila","2017-01","4","1"
"Paludisme Confirmé","Koukou Angarana","Sila","2017-01","2",""
"Paludisme Confirmé","Amtiman","Salamat","2017-01","","2"
"Paludisme Confirmé","Aboudeia","Salamat","2017-01","",""
"Paludisme Confirmé","Haraze Mangueigne","Salamat","2017-01","",""
"Paludisme Confirmé","Lai","Tandjile","2017-01","4",""
"Paludisme Confirmé","Dono Manga","Tandjile","2017-01","","1"
"Paludisme Confirmé","Kelo","Tandjile","2017-01","43","1"
"Paludisme Confirmé","Bere","Tandjile","2017-01","",""
"Paludisme Confirmé","Daffra","Tandjile","2017-01","",""
"Paludisme Confirmé","Biltine","Wadi Fira","2017-01","12",""
"Paludisme Confirmé","Guereda","Wadi Fira","2017-01","","2"
"Paludisme Confirmé","Iriba","Wadi Fira","2017-01","",""
"Paludisme Confirmé","Matadjana","Wadi Fira","2017-01","4",""
"Décès Maternels","Ati","Batha","2017-01","8",""
"Décès Maternels","Oum Hadjer","Batha","2017-01","","1"
"Décès Maternels","Alifat","Batha","2017-01","","1"
"Décès Maternels","Assinet","Batha","2017-01","",""
"Décès Maternels","Yao","Batha","2017-01","","1"
"Décès Maternels","Amdjarasse","Ennedi Est","2017-01","1",""
"Décès Maternels","Bahaï","Ennedi Est","2017-01","",""
"Décès Maternels","Kawra","Ennedi Est","2017-01","1","2"
"Décès Maternels","Fada","Ennedi Ouest","2017-01","4",""
"Décès Maternels","Kalaït","Ennedi Ouest","2017-01","1",""
"Décès Maternels","Massenya","Chari-Baguirmi","2017-01","2","1"
"Décès Maternels","Dourbali","Chari-Baguirmi","2017-01","3",""
"Décès Maternels","Mandalia","Chari-Baguirmi","2017-01","27",""
"Décès Maternels","Bousso","Chari-Baguirmi","2017-01","1",""
"Décès Maternels","Ba Illi","Chari-Baguirmi","2017-01","5",""
"Décès Maternels","Kouno","Chari-Baguirmi","2017-01","","1"
"Décès Maternels","Mongo","Guera","2017-01","2","1"
"Décès Maternels","Bitkine","Guera","2017-01","31",""
"Décès Maternels","Melfi","Guera","2017-01","2","1"
"Décès Maternels","Mangalme","Guera","2017-01","26",""
"Décès Maternels","Massakory","Hadjer Lamis","2017-01","9",""
"Décès Maternels","Bokoro","Hadjer Lamis","2017-01","","1"
"Décès Maternels","Massaguet","Hadjer Lamis","2017-01","3",""
"Décès Maternels","Mani","Hadjer Lamis","2017-01","6","1"
"Décès Maternels","Bardai","Tibesti","2017-01","",""
"Décès Maternels","Zouar","Tibesti","2017-01","","1"
"Décès Maternels","Mao","Kanem","2017-01","3",""
"Décès Maternels","Nokou","Kanem","2017-01","1","2"
"Décès Maternels","Rig Rig","Kanem","2017-01","3",""
"Décès Maternels","Mondo","Kanem","2017-01","","2"
"Décès Maternels","Moussoro","Barh-Elgazal","2017-01","10",""
"Décès Maternels","Chaddra","Barh-Elgazal","2017-01","10",""
"Décès Maternels","Bol","Lac","2017-01","8",""
"Décès Maternels","Bagassoula","Lac","2017-01","6",""
"Décès Maternels","Ngouri","Lac","2017-01","",""
"Décès Maternels","Kouloudia","Lac","2017-01","22",""
"Décès Maternels","Liwa","Lac","2017-01","2",""
"Décès Maternels","Isseirom","Lac","2017-01","13","1"
"Décès Maternels","Moundou","Logone Occidental","2017-01","1",""
"Décès Maternels","Laokassy","Logone Occidental","2017-01","19",""
"Décès Maternels","Benoye","Logone Occidental","2017-01","7",""
"Décès Maternels","Doba","Logone Oriental","2017-01","",""
"Décès Maternels","Bodo","Logone Oriental","2017-01","47","1"
"Décès Maternels","Bebeto","Logone Oriental","2017-01","21",""
"Décès Maternels","Bébédja","Logone Oriental","2017-01","42",""
"Décès Maternels","Gore","Logone Oriental","2017-01","9",""
"Décès Maternels","Béssao","Logone Oriental","2017-01","","2"
"Décès Maternels","Larmanaye","Logone Oriental","2017-01","16",""
"Décès Maternels","Koumra","Mandoul","2017-01","",""
"Décès Maternels","Goundi","Mandoul","2017-01","",""
"Décès Maternels","Moissala","Mandoul","2017-01","",""
"Décès Maternels","Bedjondo","Mandoul","2017-01","",""
"Décès Maternels","Bouna","Mandoul","2017-01","1",""
"Décès Maternels","Bongor","Mayo-Kebbi-Est","2017-01","9",""
"Décès Maternels","Gounou Gaya","Mayo-Kebbi-Est","2017-01","",""
"Décès Maternels","Guelendeng","Mayo-Kebbi-Est","2017-01","2",""
"Décès Maternels","Fianga","Mayo-Kebbi-Est","2017-01","",""
"Décès Maternels","Pont Carol","Mayo-Kebbi-Est","2017-01","20",""
"Décès Maternels","Moulkou","Mayo-Kebbi-Est","2017-01","1",""
"Décès Maternels","Pala","Mayo-Kebbi-Ouest","2017-01","26",""
"Décès Maternels","Lere","Mayo-Kebbi-Ouest","2017-01","11",""
"Décès Maternels","Gagal","Mayo-Kebbi-Ouest","2017-01","16",""
"Décès Maternels","Torrock","Mayo-Kebbi-Ouest","2017-01","7",""
"Décès Maternels","Lagon","Mayo-Kebbi-Ouest","2017-01","9",""
"Décès Maternels","Binder","Mayo-Kebbi-Ouest","2017-01","",""
"Décès Maternels","Lame","Mayo-Kebbi-Ouest","2017-01","","1"
"Décès Maternels","Sarh","Moyen-Chari","2017-01","",""
"Décès Maternels","Danamadji","Moyen-Chari","2017-01","5",""
"Décès Maternels","Kyabe","Moyen-Chari","2017-01","4","2"
"Décès Maternels","Biobé Singako","Moyen-Chari","2017-01","",""
"Décès Maternels","Ndjamena-Nord","Ndjamena","2017-01","",""
"Décès Maternels","Ndjamena-Centre","Ndjamena","2017-01","",""
"Décès Maternels","Ndjamena-Sud","Ndjamena","2017-01","2","2"
"Décès Maternels","Ndjamena-Est","Ndjamena","2017-01","",""
"Décès Maternels","Faya","Borkou","2017-01","",""
"Décès Maternels","Kirdimi","Borkou","2017-01","37",""
"Décès Maternels","Abeche","Ouaddai","2017-01","",""
"Décès Maternels","Abdi","Ouaddai","2017-01","3","2"
"Décès Maternels","Adre","Ouaddai","2017-01","19",""
"Décès Maternels","Abougoudam","Ouaddai","2017-01","","1"
"Décès Maternels","Gozbeida","Sila","2017-01","",""
"Décès Maternels","Amdam","Sila","2017-01","14",""
"Décès Maternels","Tissi","Sila","2017-01","",""
"Décès Maternels","Koukou Angarana","Sila","2017-01","",""
"Décès Maternels","Amtiman","Salamat","2017-01","",""
"Décès Maternels","Aboudeia","Salamat","2017-01","16",""
"Décès Maternels","Haraze Mangueigne","Salamat","2017-01","",""
"Décès Maternels","Lai","Tandjile","2017-01","",""
"Décès Maternels","Dono Manga","Tandjile","2017-01","15",""
"Décès Maternels","Kelo","Tandjile","2017-01","17",""
"Décès Maternels","Bere","Tandjile","2017-01","",""
"Décès Maternels","Biltine","Wadi Fira","2017-01","","1"
"Décès Maternels","Guereda","Wadi Fira","2017-01","","2"
"Décès Maternels","Iriba","Wadi Fira","2017-01","9",""
"Décès Maternels","Matadjana","Wadi Fira","2017-01","",""
"Fièvre Jaune","Ati","Batha","2017-01","7","1"
"Fièvre Jaune","Oum Hadjer","Batha","2017-01","1",""
"Fièvre Jaune","Alifat","Batha","2017-01","6",""
"Fièvre Jaune","Assinet","Batha","2017-01","",""
"Fièvre Jaune","Yao","Batha","2017-01","2",""
"Fièvre Jaune","Amdjarasse","Ennedi Est","2017-01","5",""
"Fièvre Jaune","Bahaï","Ennedi Est","2017-01","5",""
"Fièvre Jaune","Kawra","Ennedi Est","2017-01","44","1"
"Fièvre Jaune","Fada","Ennedi Ouest","2017-01","14",""
"Fièvre Jaune","Kalaït","Ennedi Ouest","2017-01","1","1"
"Fièvre Jaune","Massenya","Chari-Baguirmi","2017-01","12","1"
"Fièvre Jaune","Dourbali","Chari-Baguirmi","2017-01","7","2"
"Fièvre Jaune","Mandalia","Chari-Baguirmi","2017-01","",""
"Fièvre Jaune","Bousso","Chari-Baguirmi","2017-01","3",""
"Fièvre Jaune","Ba Illi","Chari-Baguirmi","2017-01","1",""
"Fièvre Jaune","Kouno","Chari-Baguirmi","2017-01","",""
"Fièvre Jaune","Mongo","Guera","2017-01","",""
