disease,chiefdom,PHU,pop,epiweek,fyo,cas,dth
Sever Pneumonia,Kalansogoia,Bumbuna CHC,9999,2016-01,o,3,
Sever Pneumonia,Kalansogoia,Bumbuna CHC,9999,2016-01,u,3,
Sever Pneumonia,Kalansogoia,Bassaia MCHP,9999,2016-01,o,2,
Sever Pneumonia,Kalansogoia,Bassaia MCHP,9999,2016-01,u,,
Sever Pneumonia,Kalansogoia,New Ferengbeya MCHP,9999,2016-01,o,23,
Sever Pneumonia,Kalansogoia,New Ferengbeya MCHP,9999,2016-01,u,3,
Sever Pneumonia,Sambaya Bendugu,Kholifaga MCHP,9999,2016-01,o,6,
Sever Pneumonia,Sambaya Bendugu,Kholifaga MCHP,9999,2016-01,u,11,
Sever Pneumonia,Sambaya Bendugu,Ninkikoro MCHP,9999,2016-01,o,15,
Sever Pneumonia,Sambaya Bendugu,Ninkikoro MCHP,9999,2016-01,u,15,
Sever Pneumonia,Sambaya Bendugu,Dankawalia MCHP,9999,2016-01,o,6,
Sever Pneumonia,Sambaya Bendugu,Dankawalia MCHP,9999,2016-01,u,14,
Sever Pneumonia,Tane,Makrugbeh CHP,9999,2016-01,o,12,
Sever Pneumonia,Tane,Makrugbeh CHP,9999,2016-01,u,17,
Sever Pneumonia,Tane,Mathufulie MCHP,9999,2016-01,o,10,
Sever Pneumonia,Tane,Mathufulie MCHP,9999,2016-01,u,25,
Sever Pneumonia,Tane,Rosengbeh MCHP,9999,2016-01,o,4,
Sever Pneumonia,Tane,Rosengbeh MCHP,9999,2016-01,u,9,
Sever Pneumonia,Tane,Masankoro MCHP,9999,2016-01,o,,
Sever Pneumonia,Tane,Masankoro MCHP,9999,2016-01,u,3,
Sever Pneumonia,Kunike Barina,Massaba MCHP,9999,2016-01,o,3,
Sever Pneumonia,Kunike Barina,Massaba MCHP,9999,2016-01,u,7,
Sever Pneumonia,Kunike Barina,Mapamurie MCHP,9999,2016-01,o,,
Sever Pneumonia,Kunike Barina,Mapamurie MCHP,9999,2016-01,u,10,
Sever Pneumonia,Kunike,Mamanso Sanka CHP,9999,2016-01,o,10,
Sever Pneumonia,Kunike,Mamanso Sanka CHP,9999,2016-01,u,7,
Sever Pneumonia,Kunike,Masiaka (Kunike) MCHP,9999,2016-01,o,8,
Sever Pneumonia,Kunike,Masiaka (Kunike) MCHP,9999,2016-01,u,5,
Sever Pneumonia,Kunike,Fothaneh Junction MCHP,9999,2016-01,o,2,
Sever Pneumonia,Kunike,Fothaneh Junction MCHP,9999,2016-01,u,4,
Sever Pneumonia,Kunike,Mabineh MCHP,9999,2016-01,o,5,
Sever Pneumonia,Kunike,Mabineh MCHP,9999,2016-01,u,10,
Sever Pneumonia,Kunike,Petifu Mandugu MCHP,9999,2016-01,o,2,
Sever Pneumonia,Kunike,Petifu Mandugu MCHP,9999,2016-01,u,5,
Sever Pneumonia,Kunike,Maconteh Tama MCHP,9999,2016-01,o,2,
Sever Pneumonia,Kunike,Maconteh Tama MCHP,9999,2016-01,u,5,
Sever Pneumonia,Gbonkolenken,Lion Heart Medical Centre,9999,2016-01,o,5,
Sever Pneumonia,Gbonkolenken,Lion Heart Medical Centre,9999,2016-01,u,15,1
Sever Pneumonia,Gbonkolenken,Yele CHC,9999,2016-01,o,,
Sever Pneumonia,Gbonkolenken,Yele CHC,9999,2016-01,u,2,
Sever Pneumonia,Gbonkolenken,Mayepoh CHP,9999,2016-01,o,15,
Sever Pneumonia,Gbonkolenken,Mayepoh CHP,9999,2016-01,u,25,
Sever Pneumonia,Gbonkolenken,Makonkorie CHP,9999,2016-01,o,3,
Sever Pneumonia,Gbonkolenken,Makonkorie CHP,9999,2016-01,u,12,
Sever Pneumonia,Gbonkolenken,Petifu Mayepoh MCHP,9999,2016-01,o,4,
Sever Pneumonia,Gbonkolenken,Petifu Mayepoh MCHP,9999,2016-01,u,8,
Sever Pneumonia,Gbonkolenken,Mansumana CHP,9999,2016-01,o,,
Sever Pneumonia,Gbonkolenken,Mansumana CHP,9999,2016-01,u,2,
Sever Pneumonia,Gbonkolenken,Mafay MCHP,9999,2016-01,o,3,
Sever Pneumonia,Gbonkolenken,Mafay MCHP,9999,2016-01,u,8,
Sever Pneumonia,Gbonkolenken,Manowo (Gbonkolenken) CHC,9999,2016-01,o,6,
Sever Pneumonia,Gbonkolenken,Manowo (Gbonkolenken) CHC,9999,2016-01,u,12,
Sever Pneumonia,Kholifa Mabang,Mabang (Kholifa Mabang) CHC,9999,2016-01,o,24,
Sever Pneumonia,Kholifa Mabang,Mabang (Kholifa Mabang) CHC,9999,2016-01,u,38,
Sever Pneumonia,Kholifa Mabang,Mamanso Kafla MCHP,9999,2016-01,o,2,
Sever Pneumonia,Kholifa Mabang,Mamanso Kafla MCHP,9999,2016-01,u,7,
Sever Pneumonia,Malal Mara,Mara CHC,9999,2016-01,o,30,
Sever Pneumonia,Malal Mara,Mara CHC,9999,2016-01,u,47,
Sever Pneumonia,Malal Mara,Kiampkakolo MCHP,9999,2016-01,o,3,
Sever Pneumonia,Malal Mara,Kiampkakolo MCHP,9999,2016-01,u,3,
Sever Pneumonia,Yoni,Magboki Road Mile 91 CHP,9999,2016-01,o,27,
Sever Pneumonia,Yoni,Magboki Road Mile 91 CHP,9999,2016-01,u,24,
Sever Pneumonia,Yoni,Bakeloko MCHP,9999,2016-01,o,9,
Sever Pneumonia,Yoni,Bakeloko MCHP,9999,2016-01,u,17,
Sever Pneumonia,Yoni,Mathoir CHC,9999,2016-01,o,2,
Sever Pneumonia,Yoni,Mathoir CHC,9999,2016-01,u,2,
Sever Pneumonia,Yoni,Rokimbi MCHP,9999,2016-01,o,7,
Sever Pneumonia,Yoni,Rokimbi MCHP,9999,2016-01,u,11,
Sever Pneumonia,Yoni,Petifu Fulamasa MCHP,9999,2016-01,o,,
Sever Pneumonia,Yoni,Petifu Fulamasa MCHP,9999,2016-01,u,15,
Sever Pneumonia,Yoni,Maseprr MCHP,9999,2016-01,o,,
Sever Pneumonia,Yoni,Maseprr MCHP,9999,2016-01,u,4,
Typhoid Fever,Kholifa Rowalla,Magburaka Government Hospital,9999,2016-01,o,20,
Typhoid Fever,Kholifa Rowalla,Magburaka Government Hospital,9999,2016-01,u,,
Typhoid Fever,Kalansogoia,Bumbuna CHC,9999,2016-01,o,3,
Typhoid Fever,Kalansogoia,Bumbuna CHC,9999,2016-01,u,,
Typhoid Fever,Gbonkolenken,Lion Heart Medical Centre,9999,2016-01,o,10,
Typhoid Fever,Gbonkolenken,Lion Heart Medical Centre,9999,2016-01,u,3,
Malaria cases,Kholifa Rowalla,Magburaka Government Hospital,9999,2016-01,o,13,
Malaria cases,Kholifa Rowalla,Magburaka Government Hospital,9999,2016-01,u,16,
Malaria cases,Kholifa Rowalla,Masanga Leprosy Hospital,9999,2016-01,o,19,
Malaria cases,Kholifa Rowalla,Masanga Leprosy Hospital,9999,2016-01,u,6,
Malaria cases,Kholifa Rowalla,Magburaka MCHP,9999,2016-01,o,33,
Malaria cases,Kholifa Rowalla,Magburaka MCHP,9999,2016-01,u,100,
Malaria cases,Kholifa Rowalla,Mabai (Kholifa Rowalla) MCHP,9999,2016-01,o,28,
Malaria cases,Kholifa Rowalla,Mabai (Kholifa Rowalla) MCHP,9999,2016-01,u,20,
Malaria cases,Kholifa Rowalla,Mayossoh MCHP,9999,2016-01,o,18,
Malaria cases,Kholifa Rowalla,Mayossoh MCHP,9999,2016-01,u,29,
Malaria cases,Kholifa Rowalla,Masoko MCHP,9999,2016-01,o,11,
Malaria cases,Kholifa Rowalla,Masoko MCHP,9999,2016-01,u,18,
Malaria cases,Kholifa Rowalla,Malone MCHP,9999,2016-01,o,22,
Malaria cases,Kholifa Rowalla,Malone MCHP,9999,2016-01,u,50,
Malaria cases,Kholifa Rowalla,Mabom CHC,9999,2016-01,o,33,
Malaria cases,Kholifa Rowalla,Mabom CHC,9999,2016-01,u,22,
Malaria cases,Kholifa Rowalla,Mamuntha MCHP,9999,2016-01,o,23,
Malaria cases,Kholifa Rowalla,Mamuntha MCHP,9999,2016-01,u,39,
Malaria cases,Kafe Simira,Mabontor CHP,9999,2016-01,o,12,
Malaria cases,Kafe Simira,Mabontor CHP,9999,2016-01,u,14,
Malaria cases,Kafe Simira,Masumbrie MCHP,9999,2016-01,o,24,
Malaria cases,Kafe Simira,Masumbrie MCHP,9999,2016-01,u,66,
Malaria cases,Kafe Simira,Makonthanday MCHP,9999,2016-01,o,14,
Malaria cases,Kafe Simira,Makonthanday MCHP,9999,2016-01,u,16,
Malaria cases,Kafe Simira,Mayassoh MCHP,9999,2016-01,o,13,
Malaria cases,Kafe Simira,Mayassoh MCHP,9999,2016-01,u,12,
Malaria cases,Kalansogoia,Bumbuna CHC,9999,2016-01,o,18,
Malaria cases,Kalansogoia,Bumbuna CHC,9999,2016-01,u,15,
Malaria cases,Kalansogoia,Kathombo CHP,9999,2016-01,o,9,
Malaria cases,Kalansogoia,Kathombo CHP,9999,2016-01,u,22,
Malaria cases,Kalansogoia,Kemedugu MCHP,9999,2016-01,o,25,
Malaria cases,Kalansogoia,Kemedugu MCHP,9999,2016-01,u,56,
Malaria cases,Kalansogoia,Bassaia MCHP,9999,2016-01,o,15,
Malaria cases,Kalansogoia,Bassaia MCHP,9999,2016-01,u,35,
Malaria cases,Kalansogoia,Kamasaypana MCHP,9999,2016-01,o,14,
Malaria cases,Kalansogoia,Kamasaypana MCHP,9999,2016-01,u,26,
Malaria cases,Kalansogoia,New Ferengbeya MCHP,9999,2016-01,o,4,
Malaria cases,Kalansogoia,New Ferengbeya MCHP,9999,2016-01,u,26,
Malaria cases,Sambaya Bendugu,Kholifaga MCHP,9999,2016-01,o,12,
Malaria cases,Sambaya Bendugu,Kholifaga MCHP,9999,2016-01,u,16,
Malaria cases,Sambaya Bendugu,Ninkikoro MCHP,9999,2016-01,o,24,
Malaria cases,Sambaya Bendugu,Ninkikoro MCHP,9999,2016-01,u,20,
Malaria cases,Sambaya Bendugu,Dankawalia MCHP,9999,2016-01,o,10,
Malaria cases,Sambaya Bendugu,Dankawalia MCHP,9999,2016-01,u,18,
Malaria cases,Tane,Matotoka CHC,9999,2016-01,o,2,
Malaria cases,Tane,Matotoka CHC,9999,2016-01,u,32,
Malaria cases,Tane,Mathonkara MCHP,9999,2016-01,o,7,
Malaria cases,Tane,Mathonkara MCHP,9999,2016-01,u,16,
Malaria cases,Tane,Makrugbeh CHP,9999,2016-01,o,8,
Malaria cases,Tane,Makrugbeh CHP,9999,2016-01,u,17,
Malaria cases,Tane,Mathufulie MCHP,9999,2016-01,o,15,
Malaria cases,Tane,Mathufulie MCHP,9999,2016-01,u,24,
Malaria cases,Tane,Rosengbeh MCHP,9999,2016-01,o,6,
Malaria cases,Tane,Rosengbeh MCHP,9999,2016-01,u,12,
Malaria cases,Tane,Mangaybana CHP,9999,2016-01,o,5,
Malaria cases,Tane,Mangaybana CHP,9999,2016-01,u,9,
Malaria cases,Tane,Masankoro MCHP,9999,2016-01,o,2,
Malaria cases,Tane,Masankoro MCHP,9999,2016-01,u,7,
Malaria cases,Kunike Barina,Makali (Kunike Barina) CHC,9999,2016-01,o,10,
Malaria cases,Kunike Barina,Makali (Kunike Barina) CHC,9999,2016-01,u,18,
Malaria cases,Kunike Barina,Massaba MCHP,9999,2016-01,o,16,
Malaria cases,Kunike Barina,Massaba MCHP,9999,2016-01,u,14,
Malaria cases,Kunike Barina,Wonkibor MCHP,9999,2016-01,o,4,
Malaria cases,Kunike Barina,Wonkibor MCHP,9999,2016-01,u,12,
Malaria cases,Kunike Barina,Makoni Line MCHP,9999,2016-01,o,3,
Malaria cases,Kunike Barina,Makoni Line MCHP,9999,2016-01,u,16,
Malaria cases,Kunike Barina,Mapamurie MCHP,9999,2016-01,o,20,
Malaria cases,Kunike Barina,Mapamurie MCHP,9999,2016-01,u,18,
Malaria cases,Kunike,Masingbi CHC,9999,2016-01,o,3,
Malaria cases,Kunike,Masingbi CHC,9999,2016-01,u,33,
Malaria cases,Kunike,Mamanso Sanka CHP,9999,2016-01,o,11,
Malaria cases,Kunike,Mamanso Sanka CHP,9999,2016-01,u,14,
Malaria cases,Kunike,Petifuline MCHP,9999,2016-01,o,3,
Malaria cases,Kunike,Petifuline MCHP,9999,2016-01,u,16,
Malaria cases,Kunike,Masiaka (Kunike) MCHP,9999,2016-01,o,5,
Malaria cases,Kunike,Masiaka (Kunike) MCHP,9999,2016-01,u,11,
Malaria cases,Kunike,Fothaneh Junction MCHP,9999,2016-01,o,30,
Malaria cases,Kunike,Fothaneh Junction MCHP,9999,2016-01,u,28,
Malaria cases,Kunike,Mabineh MCHP,9999,2016-01,o,10,
Malaria cases,Kunike,Mabineh MCHP,9999,2016-01,u,14,
Malaria cases,Kunike,Fothaneh Bana MCHP,9999,2016-01,o,23,
Malaria cases,Kunike,Fothaneh Bana MCHP,9999,2016-01,u,49,
Malaria cases,Kunike,Petifu Mandugu MCHP,9999,2016-01,o,13,
Malaria cases,Kunike,Petifu Mandugu MCHP,9999,2016-01,u,17,
Malaria cases,Kunike,Magbanto Bana MCHP,9999,2016-01,o,11,
Malaria cases,Kunike,Magbanto Bana MCHP,9999,2016-01,u,15,
Malaria cases,Kunike,Maconteh Tama MCHP,9999,2016-01,o,4,
Malaria cases,Kunike,Maconteh Tama MCHP,9999,2016-01,u,8,
Malaria cases,Gbonkolenken,Lion Heart Medical Centre,9999,2016-01,o,45,
Malaria cases,Gbonkolenken,Lion Heart Medical Centre,9999,2016-01,u,15,
Malaria cases,Gbonkolenken,Yele CHC,9999,2016-01,o,8,
Malaria cases,Gbonkolenken,Yele CHC,9999,2016-01,u,22,
Malaria cases,Gbonkolenken,Mayepoh CHP,9999,2016-01,o,20,
Malaria cases,Gbonkolenken,Mayepoh CHP,9999,2016-01,u,30,
Malaria cases,Gbonkolenken,Makonkorie CHP,9999,2016-01,o,14,
Malaria cases,Gbonkolenken,Makonkorie CHP,9999,2016-01,u,20,
Malaria cases,Gbonkolenken,Mathamp MCHP,9999,2016-01,o,5,
Malaria cases,Gbonkolenken,Mathamp MCHP,9999,2016-01,u,18,
Malaria cases,Gbonkolenken,Petifu Mayepoh MCHP,9999,2016-01,o,17,
Malaria cases,Gbonkolenken,Petifu Mayepoh MCHP,9999,2016-01,u,10,
Malaria cases,Gbonkolenken,Mansumana CHP,9999,2016-01,o,8,
Malaria cases,Gbonkolenken,Mansumana CHP,9999,2016-01,u,23,
Malaria cases,Gbonkolenken,Mafay MCHP,9999,2016-01,o,2,
Malaria cases,Gbonkolenken,Mafay MCHP,9999,2016-01,u,5,
Malaria cases,Gbonkolenken,Manowo (Gbonkolenken) CHC,9999,2016-01,o,,
Malaria cases,Gbonkolenken,Manowo (Gbonkolenken) CHC,9999,2016-01,u,48,
Malaria cases,Kholifa Mabang,Mabang (Kholifa Mabang) CHC,9999,2016-01,o,54,
Malaria cases,Kholifa Mabang,Mabang (Kholifa Mabang) CHC,9999,2016-01,u,43,
Malaria cases,Kholifa Mabang,Mamanso Kafla MCHP,9999,2016-01,o,27,
Malaria cases,Kholifa Mabang,Mamanso Kafla MCHP,9999,2016-01,u,30,
Malaria cases,Kholifa Mabang,Mathinkalol MCHP,9999,2016-01,o,15,
Malaria cases,Kholifa Mabang,Mathinkalol MCHP,9999,2016-01,u,25,
Malaria cases,Malal Mara,Mara CHC,9999,2016-01,o,28,
Malaria cases,Malal Mara,Mara CHC,9999,2016-01,u,38,
Malaria cases,Malal Mara,Manewa MCHP,9999,2016-01,o,5,
Malaria cases,Malal Mara,Manewa MCHP,9999,2016-01,u,13,
Malaria cases,Malal Mara,Rochen Malal CHP,9999,2016-01,o,20,
Malaria cases,Malal Mara,Rochen Malal CHP,9999,2016-01,u,40,
Malaria cases,Malal Mara,Kiampkakolo MCHP,9999,2016-01,o,20,
Malaria cases,Malal Mara,Kiampkakolo MCHP,9999,2016-01,u,18,
Malaria cases,Yoni,Hinistas CHC,9999,2016-01,o,3,
Malaria cases,Yoni,Hinistas CHC,9999,2016-01,u,20,
Malaria cases,Yoni,Magboki Road Mile 91 CHP,9999,2016-01,o,45,
Malaria cases,Yoni,Magboki Road Mile 91 CHP,9999,2016-01,u,30,
Malaria cases,Yoni,Rochen Kamandao CHP,9999,2016-01,o,5,
Malaria cases,Yoni,Rochen Kamandao CHP,9999,2016-01,u,10,
